wage,educ,educ2,educ3,educ4,educ5,age,age2,age3,age4,age5
1040000,15,225,3375,50625,759375,35,1225,42875,1500625,52521875
1.00E+06,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
675000,15,225,3375,50625,759375,31,961,29791,923521,28629151
1100000,12,144,1728,20736,248832,30,900,27000,810000,24300000
996000,12,144,1728,20736,248832,31,961,29791,923521,28629151
732000,10,100,1000,10000,100000,36,1296,46656,1679616,60466176
1200000,11,121,1331,14641,161051,37,1369,50653,1874161,69343957
1694000,15,225,3375,50625,759375,29,841,24389,707281,20511149
686000,10,100,1000,10000,100000,36,1296,46656,1679616,60466176
754000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
857000,10,100,1000,10000,100000,33,1089,35937,1185921,39135393
832000,13,169,2197,28561,371293,30,900,27000,810000,24300000
579000,13,169,2197,28561,371293,30,900,27000,810000,24300000
672000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
2500000,15,225,3375,50625,759375,36,1296,46656,1679616,60466176
1076000,12,144,1728,20736,248832,31,961,29791,923521,28629151
750000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1186000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
833000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
650000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1250000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1122000,15,225,3375,50625,759375,31,961,29791,923521,28629151
865000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
808000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1299000,18,324,5832,104976,1889568,35,1225,42875,1500625,52521875
903000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
9.00E+05,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
625000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1586000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
962000,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
1539000,17,289,4913,83521,1419857,34,1156,39304,1336336,45435424
1110000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1282000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
770000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1.00E+06,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
895000,9,81,729,6561,59049,38,1444,54872,2085136,79235168
1205000,10,100,1000,10000,100000,32,1024,32768,1048576,33554432
750000,12,144,1728,20736,248832,29,841,24389,707281,20511149
654000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
601000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
6.00E+05,13,169,2197,28561,371293,28,784,21952,614656,17210368
433000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1188000,12,144,1728,20736,248832,30,900,27000,810000,24300000
635000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1225000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
1151000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
865000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1031000,14,196,2744,38416,537824,29,841,24389,707281,20511149
1049000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1.00E+06,12,144,1728,20736,248832,29,841,24389,707281,20511149
1105000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1924000,18,324,5832,104976,1889568,35,1225,42875,1500625,52521875
1346000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
809000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1495000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
1346000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1200000,12,144,1728,20736,248832,31,961,29791,923521,28629151
5.00E+05,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1325000,12,144,1728,20736,248832,28,784,21952,614656,17210368
9.00E+05,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
8.00E+05,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
8.00E+05,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1034000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
980000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
884000,10,100,1000,10000,100000,34,1156,39304,1336336,45435424
480000,10,100,1000,10000,100000,34,1156,39304,1336336,45435424
923000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
513000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1105000,11,121,1331,14641,161051,37,1369,50653,1874161,69343957
1193000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
2771000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
779000,12,144,1728,20736,248832,30,900,27000,810000,24300000
950000,11,121,1331,14641,161051,31,961,29791,923521,28629151
1394000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1495000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
650000,12,144,1728,20736,248832,28,784,21952,614656,17210368
670000,13,169,2197,28561,371293,29,841,24389,707281,20511149
1126000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
450000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1028000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
2404000,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
1899000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
757000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1250000,14,196,2744,38416,537824,29,841,24389,707281,20511149
1162000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1025000,15,225,3375,50625,759375,29,841,24389,707281,20511149
1100000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
714000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
1318000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1411000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
2162000,17,289,4913,83521,1419857,38,1444,54872,2085136,79235168
1273000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
1140000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
578000,13,169,2197,28561,371293,30,900,27000,810000,24300000
942000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1058000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
750000,14,196,2744,38416,537824,29,841,24389,707281,20511149
1.00E+06,12,144,1728,20736,248832,30,900,27000,810000,24300000
951000,12,144,1728,20736,248832,30,900,27000,810000,24300000
635000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1250000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
675000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
4.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
577000,12,144,1728,20736,248832,29,841,24389,707281,20511149
590000,13,169,2197,28561,371293,29,841,24389,707281,20511149
923000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1250000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1100000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
1130000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
652000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
618000,12,144,1728,20736,248832,30,900,27000,810000,24300000
962000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
529000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
817000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
962000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
840000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
866000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
2404000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
1126000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1160000,12,144,1728,20736,248832,31,961,29791,923521,28629151
723000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1778000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
1903000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
1010000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
971000,17,289,4913,83521,1419857,37,1369,50653,1874161,69343957
525000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
525000,12,144,1728,20736,248832,30,900,27000,810000,24300000
670000,12,144,1728,20736,248832,30,900,27000,810000,24300000
5.00E+05,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1058000,14,196,2744,38416,537824,34,1156,39304,1336336,45435424
550000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
5.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
727000,15,225,3375,50625,759375,31,961,29791,923521,28629151
865000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1081000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1304000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
575000,13,169,2197,28561,371293,30,900,27000,810000,24300000
623000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
515000,13,169,2197,28561,371293,28,784,21952,614656,17210368
1273000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
990000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
6.00E+05,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1160000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
5.00E+05,12,144,1728,20736,248832,29,841,24389,707281,20511149
795000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
5.00E+05,11,121,1331,14641,161051,37,1369,50653,1874161,69343957
740000,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
1250000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1014000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1250000,13,169,2197,28561,371293,33,1089,35937,1185921,39135393
913000,14,196,2744,38416,537824,29,841,24389,707281,20511149
1346000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
445000,10,100,1000,10000,100000,38,1444,54872,2085136,79235168
265000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1250000,14,196,2744,38416,537824,28,784,21952,614656,17210368
1607000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
1452000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
1391000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
821000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
794000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
5.00E+05,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
520000,18,324,5832,104976,1889568,29,841,24389,707281,20511149
1730000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
1924000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1155000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
2162000,15,225,3375,50625,759375,31,961,29791,923521,28629151
923000,14,196,2744,38416,537824,31,961,29791,923521,28629151
1115000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
449000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1500000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
826000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
937000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
978000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1031000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
1272000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1136000,14,196,2744,38416,537824,34,1156,39304,1336336,45435424
8.00E+05,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1339000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1063000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
935000,12,144,1728,20736,248832,29,841,24389,707281,20511149
808000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
375000,10,100,1000,10000,100000,30,900,27000,810000,24300000
537000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1082000,12,144,1728,20736,248832,29,841,24389,707281,20511149
930000,14,196,2744,38416,537824,31,961,29791,923521,28629151
1155000,17,289,4913,83521,1419857,38,1444,54872,2085136,79235168
548000,11,121,1331,14641,161051,33,1089,35937,1185921,39135393
622000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
841000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
769000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
587000,17,289,4913,83521,1419857,29,841,24389,707281,20511149
1924000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
1058000,12,144,1728,20736,248832,29,841,24389,707281,20511149
417000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1202000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
1154000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
1070000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
1202000,14,196,2744,38416,537824,29,841,24389,707281,20511149
711000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
1202000,14,196,2744,38416,537824,31,961,29791,923521,28629151
850000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1.00E+06,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
490000,18,324,5832,104976,1889568,31,961,29791,923521,28629151
1.00E+06,14,196,2744,38416,537824,35,1225,42875,1500625,52521875
865000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1375000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1586000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1602000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
3078000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
898000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
906000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
952000,13,169,2197,28561,371293,31,961,29791,923521,28629151
571000,13,169,2197,28561,371293,29,841,24389,707281,20511149
445000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
289000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1444000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
962000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1075000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
909000,11,121,1331,14641,161051,35,1225,42875,1500625,52521875
1250000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
620000,11,121,1331,14641,161051,29,841,24389,707281,20511149
1016000,10,100,1000,10000,100000,37,1369,50653,1874161,69343957
8.00E+05,10,100,1000,10000,100000,37,1369,50653,1874161,69343957
1050000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1079000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
654000,17,289,4913,83521,1419857,34,1156,39304,1336336,45435424
781000,12,144,1728,20736,248832,30,900,27000,810000,24300000
1038000,15,225,3375,50625,759375,36,1296,46656,1679616,60466176
1924000,16,256,4096,65536,1048576,37,1369,50653,1874161,69343957
1202000,15,225,3375,50625,759375,37,1369,50653,1874161,69343957
666000,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
905000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
890000,12,144,1728,20736,248832,31,961,29791,923521,28629151
817000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
812000,12,144,1728,20736,248832,29,841,24389,707281,20511149
577000,14,196,2744,38416,537824,30,900,27000,810000,24300000
756000,14,196,2744,38416,537824,31,961,29791,923521,28629151
1011000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1155000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1025000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1350000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1001000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
796000,13,169,2197,28561,371293,37,1369,50653,1874161,69343957
1230000,13,169,2197,28561,371293,30,900,27000,810000,24300000
754000,12,144,1728,20736,248832,30,900,27000,810000,24300000
714000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1.00E+06,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
2067000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
912000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
6.00E+05,12,144,1728,20736,248832,30,900,27000,810000,24300000
951000,11,121,1331,14641,161051,31,961,29791,923521,28629151
711000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1151000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1.00E+06,12,144,1728,20736,248832,28,784,21952,614656,17210368
841000,12,144,1728,20736,248832,31,961,29791,923521,28629151
4.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1175000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1202000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1442000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
538000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
781000,11,121,1331,14641,161051,30,900,27000,810000,24300000
750000,10,100,1000,10000,100000,30,900,27000,810000,24300000
841000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
7.00E+05,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1346000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
8.00E+05,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1250000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1105000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
475000,14,196,2744,38416,537824,30,900,27000,810000,24300000
762000,15,225,3375,50625,759375,33,1089,35937,1185921,39135393
962000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
721000,13,169,2197,28561,371293,30,900,27000,810000,24300000
8.00E+05,9,81,729,6561,59049,34,1156,39304,1336336,45435424
658000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1270000,14,196,2744,38416,537824,36,1296,46656,1679616,60466176
1313000,12,144,1728,20736,248832,28,784,21952,614656,17210368
824000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1442000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1400000,17,289,4913,83521,1419857,31,961,29791,923521,28629151
1038000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
668000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1100000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1.00E+06,14,196,2744,38416,537824,30,900,27000,810000,24300000
523000,13,169,2197,28561,371293,30,900,27000,810000,24300000
1111000,14,196,2744,38416,537824,31,961,29791,923521,28629151
962000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
729000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
690000,12,144,1728,20736,248832,28,784,21952,614656,17210368
1010000,11,121,1331,14641,161051,38,1444,54872,2085136,79235168
6.00E+05,11,121,1331,14641,161051,29,841,24389,707281,20511149
596000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
850000,12,144,1728,20736,248832,29,841,24389,707281,20511149
670000,12,144,1728,20736,248832,29,841,24389,707281,20511149
793000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
1442000,17,289,4913,83521,1419857,38,1444,54872,2085136,79235168
670000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
876000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
841000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
975000,13,169,2197,28561,371293,31,961,29791,923521,28629151
1223000,12,144,1728,20736,248832,28,784,21952,614656,17210368
910000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
533000,15,225,3375,50625,759375,30,900,27000,810000,24300000
750000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
1206000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
745000,13,169,2197,28561,371293,36,1296,46656,1679616,60466176
9.00E+05,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
1170000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
540000,12,144,1728,20736,248832,31,961,29791,923521,28629151
550000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
615000,14,196,2744,38416,537824,30,900,27000,810000,24300000
909000,13,169,2197,28561,371293,31,961,29791,923521,28629151
769000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
984000,13,169,2197,28561,371293,37,1369,50653,1874161,69343957
833000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
879000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1027000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1.00E+06,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
465000,13,169,2197,28561,371293,29,841,24389,707281,20511149
1100000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
641000,14,196,2744,38416,537824,37,1369,50653,1874161,69343957
1035000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1212000,14,196,2744,38416,537824,32,1024,32768,1048576,33554432
950000,12,144,1728,20736,248832,30,900,27000,810000,24300000
938000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1250000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
586000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
693000,12,144,1728,20736,248832,28,784,21952,614656,17210368
562000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
375000,12,144,1728,20736,248832,30,900,27000,810000,24300000
673000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
654000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
692000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1111000,14,196,2744,38416,537824,29,841,24389,707281,20511149
1368000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1282000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
1250000,11,121,1331,14641,161051,38,1444,54872,2085136,79235168
1346000,15,225,3375,50625,759375,35,1225,42875,1500625,52521875
1424000,17,289,4913,83521,1419857,37,1369,50653,1874161,69343957
854000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
888000,15,225,3375,50625,759375,32,1024,32768,1048576,33554432
1161000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
583000,16,256,4096,65536,1048576,30,900,27000,810000,24300000
1260000,12,144,1728,20736,248832,29,841,24389,707281,20511149
947000,18,324,5832,104976,1889568,35,1225,42875,1500625,52521875
1850000,11,121,1331,14641,161051,33,1089,35937,1185921,39135393
1575000,12,144,1728,20736,248832,30,900,27000,810000,24300000
758000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
1442000,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
489000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1126000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1.00E+06,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
5.00E+05,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1200000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
565000,10,100,1000,10000,100000,33,1089,35937,1185921,39135393
