X1,X2,X3,X4,X5,y
0.997189683,0.994387263,0.991592719,0.988806029,0.98602717,19.72313439
3.428562934,11.75504379,40.30290743,138.1810545,473.7624418,-96.61513463
-0.578567349,0.334740178,-0.193669737,0.112050987,-0.064829042,-2.255177132
-0.204163006,0.041682533,-0.008510031,0.001737434,-0.00035472,-15.84924779
-1.867168657,3.486318794,-6.509545181,12.15441873,-22.69434971,29.02394878
1.443433946,2.083501556,3.007396872,4.340978733,6.265916061,-5.403785621
0.403380035,0.162715453,0.065636165,0.026476319,0.010680018,2.124741574
-0.6907654,0.477156838,-0.329603434,0.227678648,-0.157272533,14.28940219
1.172287463,1.374257897,1.611025304,1.888584768,2.213964247,-0.894101341
-1.571128404,2.468444462,-3.878243207,6.09321806,-9.573227965,-17.74415157
0.801992309,0.643191664,0.515834768,0.413695517,0.331780623,6.561742729
-0.571972862,0.327152955,-0.187122612,0.107029056,-0.061217715,-1.155146039
1.553393712,2.413032025,3.748388774,5.822723551,9.044982151,-19.92140873
0.701219979,0.491709459,0.344796497,0.241778193,0.169539699,3.393657934
1.014992677,1.030210135,1.045655743,1.061332922,1.077245144,14.62469705
-0.118041965,0.013933905,-0.001644786,0.000194154,-2.29E-05,11.12608083
-1.063890947,1.131863948,-1.204179808,1.281115997,-1.362967711,22.81078597
1.176691201,1.384602181,1.629249203,1.917123201,2.255862,22.57556668
1.347619439,1.816078153,2.447382223,3.29813986,4.444637389,5.205766177
-0.794300044,0.63091256,-0.501133875,0.398050659,-0.316171656,0.710578152
-1.279943031,1.638254163,-2.096872,2.683876704,-3.435209284,17.7392775
0.556752763,0.309973639,0.17257868,0.096083657,0.053494841,9.201484392
-0.048403721,0.00234292,-0.000113406,5.49E-06,-2.66E-07,-17.75135295
0.234364308,0.054926629,0.012872841,0.003016935,0.000707062,12.28978038
-0.983657089,0.967581268,-0.951768173,0.93621351,-0.920913055,-9.286022549
1.093005055,1.194660051,1.305769475,1.427212638,1.559950628,12.71859959
-1.251296029,1.565741752,-1.959206436,2.451547233,-3.067611317,16.98878196
1.481599809,2.195137994,3.252316032,4.818630812,7.13928249,-2.245045433
-0.227293069,0.051662139,-0.011742446,0.002668977,-0.00060664,8.45226877
-0.063780165,0.004067909,-0.000259452,1.65E-05,-1.06E-06,-13.13085373
-0.176185108,0.031041192,-0.005468996,0.000963556,-0.000169764,-14.95721526
-2.172673937,4.720512038,-10.25613348,22.2832339,-48.41420154,46.74420937
-1.588957232,2.524785084,-4.011775518,6.374539722,-10.12887099,21.24631564
-1.292981481,1.67180111,-2.161607874,2.79491895,-3.613778443,11.00523353
-0.547431498,0.299681245,-0.164054953,0.089808849,-0.049164193,-5.474631507
-0.008796602,7.74E-05,-6.81E-07,5.99E-09,-5.27E-11,-4.659953907
-0.478540231,0.229000752,-0.109586073,0.052441345,-0.025095293,2.141604768
-0.359362334,0.129141287,-0.046408514,0.016677472,-0.005993255,8.304942942
0.609150984,0.371064921,0.226034561,0.137689175,0.083873497,-12.94787357
1.038693764,1.078884735,1.120630846,1.163992271,1.209031513,-2.325592349
0.098843388,0.009770015,0.000965701,9.55E-05,9.43E-06,2.179013036
-1.109817419,1.231694705,-1.366956239,1.517071845,-1.68367276,-10.95672623
-0.754384294,0.569095663,-0.42931683,0.323869873,-0.244322346,-14.9948135
1.017105658,1.03450392,1.052199791,1.070198361,1.088504809,0.275186438
-1.749904777,3.06216673,-5.358500189,9.37686508,-16.408621,17.1577602
-1.350573112,1.824047731,-2.46350982,3.327150124,-4.493559497,19.04937671
0.03391207,0.001150028,3.90E-05,1.32E-06,4.49E-08,7.301776219
0.424447055,0.180155303,0.076466388,0.032455933,0.013775825,7.020682037
-0.429403038,0.184386969,-0.079176324,0.033998554,-0.014599082,3.677873395
-0.223169586,0.049804664,-0.011114886,0.002480505,-0.000553573,23.7366268
0.231588596,0.053633278,0.012420856,0.002876528,0.000666171,5.686284733
-0.895378572,0.801702787,-0.717827497,0.642727359,-0.575484305,-8.13921205
-1.000759118,1.001518813,-1.002279084,1.003039933,-1.003801359,3.24848583
1.169369952,1.367426085,1.599026976,1.869854098,2.186551197,15.6601956
0.78685977,0.619148298,0.487182887,0.383344615,0.301638455,9.488967175
0.563006135,0.316975909,0.178459381,0.100473727,0.056567325,5.620981378
-1.270065662,1.613066787,-2.048700737,2.601984459,-3.304691116,25.60248797
-0.284836363,0.081131754,-0.023109274,0.006582361,-0.001874896,3.79152318
0.268540961,0.072114248,0.019365629,0.005200465,0.001396538,12.38398564
-0.750507588,0.56326164,-0.422732135,0.317263676,-0.238108796,-1.98752646
0.480001649,0.230401583,0.11059314,0.05308489,0.025480835,5.144093535
1.938019159,3.755918261,7.279041551,14.10692199,27.33948509,-4.982413577
-0.704193259,0.495888146,-0.34920109,0.245905054,-0.173164681,-6.939294135
-0.230238961,0.053009979,-0.012204963,0.002810058,-0.000646985,-16.63843717
-0.013515775,0.000182676,-2.47E-06,3.34E-08,-4.51E-10,-15.06818394
-0.49059401,0.240682482,-0.118077384,0.057928057,-0.028419158,-9.487844576
0.156246698,0.024413031,0.003814455,0.000595996,9.31E-05,8.861043249
-0.402486552,0.161995425,-0.06520098,0.026242518,-0.01056226,-3.094398088
