price,LSTAT,LSTAT2,LSTAT3,LSTAT4,LSTAT5,LSTAT6,LSTAT7,LSTAT8,LSTAT9,LSTAT10
24.7,7.44,55.3536,411.830784,3064.021033,22796.31649,169604.5947,1261858.184,9388224.89,69848393.18,519672045.3
21.2,9.55,91.2025,870.983875,8317.896006,79435.90686,758612.9105,7244753.295,69187393.97,660739612.4,6310063299
19.3,10.21,104.2441,1064.332261,10866.83238,110950.3586,1132803.162,11565920.28,118088046.1,1205678950,12309982084
20,14.15,200.2225,2833.148375,40089.04951,567260.0505,8026729.715,113578225.5,1607131890,22740916248,3.21784E+11
16.6,18.8,353.44,6644.672,124919.8336,2348492.872,44151665.99,830051320.6,15604964827,2.93373E+11,5.51542E+12
14.4,30.81,949.2561,29246.58044,901087.1434,27762494.89,855362467.5,26353717623,8.11958E+11,2.50164E+13,7.70756E+14
19.4,16.2,262.44,4251.528,68874.7536,1115771.008,18075490.33,292822943.4,4743731683,76848453272,1.24494E+12
19.7,13.45,180.9025,2433.138625,32725.71451,440160.8601,5920163.568,79626200,1070972390,14404578645,1.93742E+11
20.5,9.43,88.9249,838.561807,7907.63784,74569.02483,703185.9042,6631043.076,62530736.21,589664842.4,5560539464
25,5.28,27.8784,147.197952,777.2051866,4103.643385,21667.23707,114403.0117,604047.902,3189372.923,16839889.03
23.4,8.43,71.0649,599.077107,5050.220012,42573.3547,358893.3801,3025471.195,25504722.17,215004807.9,1812490531
18.9,14.8,219.04,3241.792,47978.5216,710082.1197,10509215.37,155536387.5,2301938535,34068690317,5.04217E+11
35.4,4.81,23.1361,111.284641,535.2791232,2574.692583,12384.27132,59568.34506,286523.7397,1378179.188,6629041.895
24.7,5.77,33.2929,192.100033,1108.41719,6395.567189,36902.42268,212926.9789,1228588.668,7088956.614,40903279.66
31.6,3.95,15.6025,61.629875,243.4380063,961.5801247,3798.241493,15003.0539,59262.06289,234085.1484,924636.3362
23.3,6.86,47.0596,322.828856,2214.605952,15192.19683,104218.4703,714938.706,4904479.523,33644729.53,230802844.6
19.6,9.22,85.0084,783.777448,7226.428071,66627.66681,614307.088,5663911.351,52221262.66,481480041.7,4439245985
18.7,13.15,172.9225,2273.930875,29902.19101,393213.8117,5170761.624,67995515.36,894141027,11757954505,1.54617E+11
16,14.44,208.5136,3010.936384,43477.92138,627821.1848,9065737.908,130909255.4,1890329648,27296360116,3.94159E+11
22.2,6.73,45.2929,304.821217,2051.44679,13806.2369,92915.97433,625324.5073,4208433.934,28322760.38,190612177.3
25,9.5,90.25,857.375,8145.0625,77378.09375,735091.8906,6983372.961,66342043.13,630249409.7,5987369392
33,8.05,64.8025,521.660125,4199.364006,33804.88025,272129.286,2190640.752,17634658.06,141958997.4,1142769929
23.5,4.67,21.8089,101.847563,475.6281192,2221.183317,10372.92609,48441.56484,226222.1078,1056457.243,4933655.326
19.4,10.24,104.8576,1073.741824,10995.11628,112589.9907,1152921.505,11805916.21,120892582,1237940039,12676506002
22,8.1,65.61,531.441,4304.6721,34867.84401,282429.5365,2287679.245,18530201.89,150094635.3,1215766546
17.4,13.09,171.3481,2242.946629,29360.17137,384324.6433,5030809.581,65853297.41,862019663.1,11283837390,1.47705E+11
20.9,8.79,77.2641,679.151439,5969.741149,52474.0247,461246.6771,4054358.292,35637809.38,313256344.5,2753523268
24.2,6.72,45.1584,303.464448,2039.281091,13703.96893,92090.6712,618849.3105,4158667.366,27946244.7,187798764.4
21.7,9.88,97.6144,964.430272,9528.571087,94142.28234,930125.7495,9189642.406,90793666.97,897041429.6,8862769325
22.8,5.52,30.4704,168.196608,928.4452762,5125.017924,28290.09894,156161.3462,862010.6308,4758298.682,26265808.73
23.4,7.54,56.8516,428.661064,3232.104423,24370.06735,183750.3078,1385477.321,10446499,78766602.45,593900182.5
24.1,6.78,45.9684,311.665752,2113.093799,14326.77595,97135.54097,658578.9678,4465165.402,30273821.42,205256509.2
21.4,8.94,79.9236,714.516984,6387.781837,57106.76962,510534.5204,4564178.613,40803756.8,364785585.8,3261183137
20,11.97,143.2809,1715.072373,20529.4163,245737.1132,2941473.245,35209434.74,421456933.8,5044839498,60386728788
20.8,10.27,105.4729,1083.206683,11124.53263,114248.9502,1173336.718,12050168.09,123755226.3,1270966174,13052822612
21.2,12.34,152.2756,1879.080904,23187.85836,286138.1721,3530945.044,43571861.84,537676775.1,6634931405,81875053536
20.3,9.1,82.81,753.571,6857.4961,62403.21451,567869.252,5167610.194,47025252.76,427929800.1,3894161181
28,5.29,27.9841,148.035889,783.1098528,4142.651121,21914.62443,115928.3632,613261.0416,3244150.91,17161558.31
23.9,7.22,52.1284,376.367048,2717.370087,19619.41202,141652.1548,1022728.558,7384100.187,53313203.35,384921328.2
24.8,6.72,45.1584,303.464448,2039.281091,13703.96893,92090.6712,618849.3105,4158667.366,27946244.7,187798764.4
22.9,7.51,56.4001,423.564751,3180.97128,23889.09431,179407.0983,1347347.308,10118578.28,75990522.91,570688827.1
23.9,9.62,92.5444,890.277128,8564.465971,82390.16264,792593.3646,7624748.168,73350077.37,705627744.3,6788138901
26.6,6.53,42.6409,278.445077,1818.246353,11873.14868,77531.66091,506281.7457,3306019.8,21588309.29,140971659.7
22.5,12.86,165.3796,2126.781656,27350.4121,351726.2996,4523200.212,58168354.73,748045041.8,9619859238,1.23711E+11
22.2,8.44,71.2336,601.211584,5074.225769,42826.46549,361455.3687,3050683.312,25747767.15,217311154.8,1834106146
23.6,5.5,30.25,166.375,915.0625,5032.84375,27680.64063,152243.5234,837339.3789,4605366.584,25329516.21
28.7,5.7,32.49,185.193,1055.6001,6016.92057,34296.44725,195489.7493,1114291.571,6351461.955,36203333.15
22.6,8.81,77.6161,683.797841,6024.258979,53073.72161,467579.4874,4119375.284,36291696.25,319729844,2816819925
22,8.2,67.24,551.368,4521.2176,37073.98432,304006.6714,2492854.706,20441408.59,167619550.4,1374480313
22.9,8.16,66.5856,543.338496,4433.642127,36178.51976,295216.7212,2408968.445,19657182.51,160402609.3,1308885292
25,6.21,38.5641,239.483061,1487.189809,9235.448713,57352.13651,356156.7677,2211733.527,13734865.21,85293512.93
20.6,10.59,112.1481,1187.648379,12577.19633,133192.5092,1410508.672,14937286.84,158185867.6,1675188338,17740244500
28.4,6.65,44.2225,294.079625,1955.629506,13004.93622,86482.82584,575110.7918,3824486.766,25432836.99,169128366
21.4,11.34,128.5956,1458.274104,16536.82834,187527.6334,2126563.362,24115228.53,273466691.5,3101112282,35166613277
38.7,4.21,17.7241,74.618461,314.1437208,1322.545065,5567.914722,23440.92098,98686.27732,415469.2275,1749125.448
43.8,3.57,12.7449,45.499293,162.432476,579.8839394,2070.185663,7390.562819,26384.30926,94191.98407,336265.3831
33.2,6.19,38.3161,237.176659,1468.123519,9087.684584,56252.76757,348204.6313,2155386.668,13341843.47,82586011.1
27.5,9.42,88.7364,835.896888,7874.148685,74174.48061,698723.6074,6581976.381,62002217.51,584060889,5501853574
26.5,7.67,58.8289,451.217663,3460.839475,26544.63877,203597.3794,1561591.9,11977409.87,91866733.73,704617847.7
18.6,10.63,112.9969,1201.157047,12768.29941,135727.0227,1442778.252,15336732.81,163029469.8,1733003264,18421824698
19.3,13.44,180.6336,2427.715584,32628.49745,438527.0057,5893802.957,79212711.74,1064618846,14308477287,1.92306E+11
20.1,12.33,152.0289,1874.516337,23112.78644,284980.6567,3513811.498,43325295.77,534200896.8,6586697058,81213974719
19.5,16.47,271.2609,4467.667023,73582.47587,1211903.378,19960048.63,328742000.9,5414380755,89174851035,1.46871E+12
19.5,18.66,348.1956,6497.329896,121240.1759,2262341.682,42215295.78,787737419.2,14699180242,2.74287E+11,5.11819E+12
20.4,14.09,198.5281,2797.260929,39413.40649,555334.8974,7824668.705,110249582.1,1553416611,21887640051,3.08397E+11
19.8,12.27,150.5529,1847.284083,22666.1757,278113.9758,3412458.483,41870865.59,513755520.8,6303780240,77347383546
19.4,15.55,241.8025,3760.028875,58468.44901,909184.382,14137817.14,219843056.5,3418559529,53158600679,8.26616E+11
21.7,13,169,2197,28561,371293,4826809,62748517,815730721,10604499373,1.37858E+11
22.8,10.16,103.2256,1048.772096,10655.5245,108260.1289,1099922.909,11175216.76,113540202.3,1153568455,11720255504
18.8,16.21,262.7641,4259.406061,69044.97225,1119219,18142539.99,294090573.3,4767208193,77276444806,1.25265E+12
18.7,17.09,292.0681,4991.443829,85303.77504,1457841.515,24914511.5,425789001.5,7276734036,1.24359E+11,2.1253E+12
18.5,10.45,109.2025,1141.166125,11925.18601,124618.1938,1302260.125,13608618.3,142210061.3,1486095140,15529694217
18.3,15.76,248.3776,3914.430976,61691.43218,972256.9712,15322769.87,241486853.1,3805832805,59979925001,9.45284E+11
21.2,12.04,144.9616,1745.337664,21013.86547,253006.9403,3046203.561,36676290.88,441582542.2,5316653808,64012511847
19.2,10.3,106.09,1092.727,11255.0881,115927.4074,1194052.297,12298738.65,126677008.1,1304773184,13439163793
20.4,15.37,236.2369,3630.961153,55807.87292,857767.0068,13183878.89,202636218.6,3114518680,47870152112,7.35764E+11
19.3,13.61,185.2321,2521.008881,34310.93087,466971.7691,6355485.778,86498161.44,1177239977,16022236090,2.18063E+11
22,14.37,206.4969,2967.360453,42640.96971,612750.7347,8805228.058,126531127.2,1818252298,26128285519,3.75463E+11
20.3,14.27,203.6329,2905.841483,41466.35796,591724.9281,8443914.724,120494663.1,1719458843,24536677685,3.50138E+11
20.5,17.93,321.4849,5764.224257,103352.5409,1853111.059,33226281.28,595747223.4,10681747716,1.91524E+11,3.43402E+12
17.3,25.41,645.6681,16406.42642,416887.2954,10593106.18,269170827.9,6839630737,1.73795E+11,4.41613E+12,1.12214E+14
18.8,17.58,309.0564,5433.211512,95515.85838,1679168.79,29519787.33,518957861.3,9123279202,1.60387E+11,2.81961E+12
21.4,14.81,219.3361,3248.367641,48108.32476,712484.2897,10551892.33,156273525.4,2314410912,34276425600,5.07634E+11
15.7,27.26,743.1076,20257.11318,552208.9052,15053214.76,410350634.2,11186158289,3.04935E+11,8.31252E+12,2.26599E+14
16.2,17.19,295.4961,5079.577959,87317.94512,1500995.477,25802112.24,443538309.4,7624423539,1.31064E+11,2.25299E+12
18,15.39,236.8521,3645.153819,56098.91727,863362.3369,13287146.36,204489182.5,3147088519,48433692313,7.45395E+11
14.3,18.34,336.3556,6168.761704,113135.0897,2074897.544,38053620.96,697903408.4,12799548510,2.34744E+11,4.3052E+12
19.2,12.6,158.76,2000.376,25204.7376,317579.6938,4001504.141,50418952.18,635278797.5,8004512848,1.00857E+11
19.6,12.26,150.3076,1842.771176,22592.37462,276982.5128,3395805.607,41632576.74,510415390.9,6257692692,76719312405
23,11.12,123.6544,1375.036928,15290.41064,170029.3663,1890726.553,21024879.27,233796657.5,2599818832,28909985408
18.4,15.03,225.9009,3395.290527,51031.21662,766999.1858,11527997.76,173265806.4,2604185070,39140901599,5.88288E+11
15.6,17.31,299.6361,5186.700891,89781.79242,1554122.827,26901866.13,465671302.8,8060770251,1.39532E+11,2.4153E+12
18.1,16.96,287.6416,4878.401536,82737.69005,1403231.223,23798801.55,403627674.2,6845525355,1.161E+11,1.96906E+12
17.4,16.9,285.61,4826.809,81573.0721,1378584.918,23298085.12,393737638.6,6654166092,1.12455E+11,1.9005E+12
17.1,14.59,212.8681,3105.745579,45312.828,661114.1605,9645655.601,140730115.2,2053252381,29956952241,4.37072E+11
13.3,21.32,454.5424,9690.843968,206608.7934,4404899.475,93912456.81,2002213579,42687193509,9.10091E+11,1.94031E+13
17.8,18.46,340.7716,6290.643736,116125.2834,2143672.731,39572198.61,730502786.4,13485081437,2.48935E+11,4.59533E+12
14,24.16,583.7056,14102.3273,340712.2275,8231607.416,198875635.2,4804835346,1.16085E+11,2.80461E+12,6.77594E+13
14.4,34.41,1184.0481,40743.09512,1401969.903,48241784.37,1659999800,57120593119,1.96552E+12,6.76335E+13,2.32727E+15
13.4,26.82,719.3124,19291.95857,517410.3288,13876945.02,372179665.4,9981858626,2.67713E+11,7.18007E+12,1.9257E+14
15.6,26.42,698.0164,18441.59329,487226.8947,12872534.56,340092363,8985240230,2.3739E+11,6.27185E+12,1.65702E+14
11.8,29.29,857.9041,25128.01109,735999.4448,21557423.74,631416941.3,18494202210,5.41695E+11,1.58663E+13,4.64723E+14
13.8,27.8,772.84,21484.952,597281.6656,16604430.3,461603162.4,12832567916,3.56745E+11,9.91752E+12,2.75707E+14
15.6,16.65,277.2225,4615.754625,76852.31451,1279591.037,21305190.76,354731426.1,5906278245,98339532779,1.63735E+12
14.6,29.53,872.0209,25750.77718,760420.45,22455215.89,663102525.2,19581417570,5.78239E+11,1.70754E+13,5.04237E+14
17.8,28.32,802.0224,22713.27437,643239.9301,18216554.82,515892832.5,14610085017,4.13758E+11,1.17176E+13,3.31843E+14
15.4,21.45,460.1025,9869.198625,211694.3105,4540842.96,97401081.5,2089253198,44814481101,9.61271E+11,2.06193E+13
21.5,14.1,198.81,2803.221,39525.4161,557308.367,7858047.975,110798476.4,1562258518,22027845102,3.10593E+11
19.6,13.28,176.3584,2342.039552,31102.28525,413038.3481,5485149.263,72842782.21,967352147.8,12846436523,1.70601E+11
15.3,12.12,146.8944,1780.360128,21577.96475,261524.9328,3169682.185,38416548.09,465608562.8,5643175781,68395290469
19.4,15.79,249.3241,3936.827539,62162.50684,981545.983,15498611.07,244723068.8,3864177257,61015358884,9.63433E+11
17,15.12,228.6144,3456.649728,52264.54389,790239.9036,11948427.34,180660221.4,2731582548,41301528122,6.24479E+11
15.6,15.02,225.6004,3388.518008,50895.54048,764451.018,11482054.29,172460455.4,2590356041,38907147732,5.84385E+11
13.1,16.14,260.4996,4204.463544,67860.0416,1095261.071,17677513.69,285315071,4604985246,74324461870,1.1996E+12
41.3,4.59,21.0681,96.702579,443.8648376,2037.339605,9351.388785,42922.87452,197015.9941,904303.4128,4150752.665
24.3,6.43,41.3449,265.847707,1709.400756,10991.44686,70675.00332,454440.2713,2922050.945,18788787.57,120811904.1
23.3,7.39,54.6121,403.583419,2982.481466,22040.53804,162879.5761,1203680.067,8895195.697,65735496.2,485785317
27,5.5,30.25,166.375,915.0625,5032.84375,27680.64063,152243.5234,837339.3789,4605366.584,25329516.21
50,1.73,2.9929,5.177717,8.95745041,15.49638921,26.80875333,46.37914326,80.23591785,138.8081379,240.1380785
50,1.92,3.6864,7.077888,13.58954496,26.09192632,50.09649854,96.1852772,184.6757322,354.5774059,680.7886193
50,3.32,11.0224,36.594368,121.4933018,403.3577618,1339.147769,4445.970594,14760.62237,49005.26628,162697.484
22.7,11.64,135.4896,1577.098944,18357.43171,213680.5051,2487241.079,28951486.16,336995298.9,3922625279,45659358253
25,9.81,96.2361,944.076141,9261.386943,90854.20591,891279.76,8743454.446,85773288.11,841435956.4,8254486732
50,3.7,13.69,50.653,187.4161,693.43957,2565.726409,9493.187713,35124.79454,129961.7398,480858.4372
23.8,12.14,147.3796,1789.188344,21720.7465,263689.8625,3201194.93,38862506.45,471790828.4,5727540656,69532343566
23.8,11.1,123.21,1367.631,15180.7041,168505.8155,1870414.552,20761601.53,230453777,2558036924,28394209861
22.3,11.32,128.1424,1450.571968,16420.47468,185879.7734,2104159.034,23819080.27,269631988.6,3052234111,34551290141
17.4,14.43,208.2249,3004.685307,43357.60898,625650.2976,9028133.794,130275970.6,1879882256,27126700961,3.91438E+11
19.1,12.03,144.7209,1740.992427,20944.1389,251957.9909,3031054.631,36463587.21,438656954.1,5277043158,63482829193
23.1,14.69,215.7961,3170.044709,46567.95678,684083.285,10049183.46,147622505,2168574598,31856360848,4.6797E+11
23.6,9.04,81.7216,738.763264,6678.419907,60372.91596,545771.1602,4933771.289,44601292.45,403195683.7,3644888981
22.6,9.64,92.9296,895.841344,8635.910556,83250.17776,802531.7136,7736405.719,74578951.13,718941088.9,6930592097
29.4,5.33,28.4089,151.419437,807.0655992,4301.659644,22927.8459,122205.4187,651354.8814,3471721.518,18504275.69
23.2,10.11,102.2121,1033.364331,10447.31339,105622.3383,1067841.841,10795881.01,109146357,1103469669,11156078356
24.6,6.29,39.5641,248.858189,1565.318009,9845.850275,61930.39823,389542.2049,2450220.469,15411886.75,96940767.65
29.9,6.92,47.8864,331.373888,2293.107305,15868.30255,109808.6536,759875.8832,5258341.112,36387720.5,251803025.8
37.2,5.04,25.4016,128.024064,645.2412826,3252.016064,16390.16096,82606.41125,416336.3127,2098335.016,10575608.48
39.8,7.56,57.1536,432.081216,3266.533993,24694.99699,186694.1772,1411407.98,10670244.33,80667047.11,609842876.2
36.2,9.45,89.3025,843.908625,7974.936506,75363.14998,712181.7673,6730117.701,63599612.28,601016336,5679604376
37.9,4.82,23.2324,111.980168,539.7444098,2601.568055,12539.55803,60440.66968,291324.0279,1404181.814,6768156.345
32.5,5.68,32.2624,183.250432,1040.862454,5912.098737,33580.72083,190738.4943,1083394.648,6153681.599,34952911.48
26.4,13.98,195.4404,2732.256792,38196.94995,533993.3603,7465227.177,104363875.9,1459006986,20396917659,2.85149E+11
29.6,13.15,172.9225,2273.930875,29902.19101,393213.8117,5170761.624,67995515.36,894141027,11757954505,1.54617E+11
50,4.45,19.8025,88.121125,392.1390063,1745.018578,7765.332671,34555.73039,153773.0002,684289.851,3045089.837
32,6.68,44.6224,298.077632,1991.158582,13300.93933,88850.2747,593519.835,3964712.498,26484279.48,176914987
29.8,4.56,20.7936,94.818816,432.373801,1971.624532,8990.607868,40997.17188,186947.1038,852478.7931,3887303.297
34.9,5.39,29.0521,156.590819,844.0245144,4549.292133,24520.6846,132166.49,712377.3809,3839714.083,20696058.91
37,5.1,26.01,132.651,676.5201,3450.25251,17596.2878,89741.06779,457679.4457,2334165.173,11904242.38
30.5,4.69,21.9961,103.161709,483.8284152,2269.155267,10642.3382,49912.56618,234089.9354,1097881.797,5149065.627
36.4,2.87,8.2369,23.639903,67.84652161,194.719517,558.8450138,1603.88519,4603.150495,13211.04192,37915.69031
31.1,5.03,25.3009,127.263527,640.1355408,3219.88177,16196.0053,81465.90668,409773.5106,2061160.758,10367638.61
29.1,4.38,19.1844,84.027672,368.0412034,1612.020471,7060.649662,30925.64552,135454.3274,593289.9539,2598609.998
50,2.97,8.8209,26.198073,77.80827681,231.0905821,686.3390289,2038.426916,6054.12794,17980.75998,53402.85715
33.3,4.08,16.6464,67.917312,277.102633,1130.578742,4612.761269,18820.06598,76785.86919,313286.3463,1278208.293
30.3,8.61,74.1321,638.277381,5495.56825,47316.84264,407398.0151,3507696.91,30201270.39,260032938.1,2238883597
34.6,6.62,43.8244,290.117528,1920.578035,12714.22659,84168.18005,557193.3519,3688619.99,24418664.33,161651557.9
34.9,4.56,20.7936,94.818816,432.373801,1971.624532,8990.607868,40997.17188,186947.1038,852478.7931,3887303.297
32.9,4.45,19.8025,88.121125,392.1390063,1745.018578,7765.332671,34555.73039,153773.0002,684289.851,3045089.837
24.1,7.43,55.2049,410.172407,3047.580984,22643.52671,168241.4035,1250033.628,9287749.854,69007981.42,512729301.9
42.3,3.11,9.6721,30.080231,93.54951841,290.9390023,904.820297,2813.991124,8751.512395,27217.20355,84645.50303
48.5,3.81,14.5161,55.306341,210.7171592,802.8323766,3058.791355,11653.99506,44401.72119,169170.5577,644539.8249
50,2.88,8.2944,23.887872,68.79707136,198.1355655,570.6304287,1643.415635,4733.037028,13631.14664,39257.70232
22.6,10.87,118.1569,1284.365503,13961.05302,151756.6463,1649594.745,17931094.88,194911001.4,2118682585,23030079697
24.4,10.97,120.3409,1320.139673,14481.93221,158866.7964,1742768.756,19118173.26,209726360.6,2300698176,25238658990
22.5,18.06,326.1636,5890.514616,106382.694,1921271.453,34698162.44,626648813.7,11317277575,2.0439E+11,3.69128E+12
24.4,14.66,214.9156,3150.662696,46188.71512,677126.5637,9926675.424,145525061.7,2133397405,31275605954,4.585E+11
20,23.09,533.1481,12310.38963,284246.8965,6563260.841,151545692.8,3499190047,80796298189,1.86559E+12,4.30764E+13
21.7,17.27,298.2529,5150.827583,88954.79236,1536249.264,26531024.79,458190798.1,7912955084,1.36657E+11,2.36006E+12
19.3,23.98,575.0404,13789.46879,330671.4616,7929501.65,190149449.6,4559783801,1.09344E+11,2.62206E+12,6.2877E+13
22.4,16.03,256.9609,4119.083227,66028.90413,1058443.333,16966846.63,271978551.5,4359816180,69887853373,1.1203E+12
28.1,9.38,87.9844,825.293672,7741.254643,72612.96855,681109.645,6388808.471,59927023.45,562115480,5272643202
23.7,29.55,873.2025,25803.13388,762482.606,22531361.01,665801717.8,19674440760,5.8138E+11,1.71798E+13,5.07662E+14
25,9.47,89.6809,849.278123,8042.663825,76164.02642,721273.3302,6830458.437,64684441.4,612561660,5800958921
23.3,13.51,182.5201,2465.846551,33313.5869,450066.5591,6080399.213,82146193.37,1109795072,14993331428,2.0256E+11
28.7,9.69,93.8961,909.853209,8816.477595,85431.6679,827832.8619,8021700.432,77730277.19,753206385.9,7298569880
21.5,17.92,321.1264,5754.585088,103122.1648,1847949.193,33115249.54,593425271.7,10634180868,1.90565E+11,3.41492E+12
23,10.5,110.25,1157.625,12155.0625,127628.1563,1340095.641,14071004.23,147745544.4,1551328216,16288946268
26.7,9.71,94.2841,915.498611,8889.491513,86316.96259,838137.7067,8138317.132,79023059.36,767313906.3,7450618031
21.7,21.46,460.5316,9883.008136,212089.3546,4551437.55,97673849.82,2096080817,44981894334,9.65311E+11,2.07156E+13
27.5,9.93,98.6049,979.146657,9722.926304,96548.6582,958728.1759,9520170.787,94535295.91,938735488.4,9321643400
30.1,7.6,57.76,438.976,3336.2176,25355.25376,192699.9286,1464519.457,11130347.87,84590643.85,642888893.2
44.8,4.14,17.1396,70.957944,293.7658882,1216.190777,5035.029817,20845.02344,86298.39705,357275.3638,1479120.006
50,4.63,21.4369,99.252847,459.5406816,2127.673356,9851.127638,45610.72096,211177.6381,977752.4642,4526993.909
37.6,3.13,9.7969,30.664297,95.97924961,300.4150513,940.2991105,2943.136216,9212.016356,28833.61119,90249.20304
31.6,6.36,40.4496,257.259456,1636.17014,10406.04209,66182.4277,420920.2402,2677052.728,17026055.35,108285712
46.7,3.92,15.3664,60.236288,236.126249,925.6148959,3628.410392,14223.36874,55755.60545,218561.9734,856762.9356
31.5,3.76,14.1376,53.157376,199.8717338,751.5177189,2825.706623,10624.6569,39948.70996,150207.1494,564778.8819
24.3,11.65,135.7225,1581.167125,18420.59701,214599.9551,2500089.477,29126042.41,339318394.1,3953059291,46053140739
