price,LSTAT
13.4,17.44
15.2,17.73
16.1,17.27
17.8,16.74
14.9,18.71
14.1,18.13
12.7,19.01
13.5,16.94
14.9,16.23
20.0,14.7
16.4,16.42
17.7,14.65
19.5,13.99
20.2,10.29
21.4,13.22
19.9,14.13
19.0,17.15
19.1,21.32
19.1,18.13
20.1,14.76
19.9,16.29
19.6,12.87
23.2,14.36
29.8,11.66
13.8,18.14
13.3,24.1
16.7,18.68
12.0,24.91
14.6,18.03
21.4,13.11
23.0,10.74
23.7,7.74
25.0,7.01
21.8,10.42
20.6,13.34
21.2,10.58
19.1,14.98
20.6,11.45
15.2,18.06
7.0,23.97
8.1,29.68
13.6,18.07
20.1,13.35
21.8,12.01
24.5,13.59
23.1,17.6
19.7,21.14
18.3,14.1
21.2,12.92
17.5,15.1
16.8,14.33
22.4,9.67
20.6,9.08
23.9,5.64
22.0,6.48
11.9,7.88
