BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,sale_year,sale_month
Manhattan,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,A5,10014,1,0,1,384.0,1152.0,1901,1,A5,1375000.0,2016-10-07,2016,10
Manhattan,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS                    ,1,B9,10014,2,0,2,943.0,2684.0,1899,1,B9,3950000.0,2017-08-25,2017,8
Manhattan,GREENWICH VILLAGE-WEST,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10014,5,0,5,2171.0,3524.0,1900,2,C2,313000.0,2017-05-23,2017,5
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A4,10030,1,0,1,1549.0,3036.0,1910,1,A4,2300000.0,2016-11-30,2016,11
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A9,10030,1,0,1,1665.0,3200.0,1910,1,A9,1510000.0,2017-01-03,2017,1
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A5,10030,1,0,1,1699.0,3620.0,1910,1,A5,3050000.0,2017-01-31,2017,1
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A9,10030,1,0,1,1699.0,3536.0,1901,1,A9,1595790.0,2017-08-31,2017,8
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A9,10030,1,0,1,1488.0,3951.0,1899,1,A9,2200000.0,2017-03-30,2017,3
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A9,10030,1,0,1,1431.0,3591.0,1899,1,A9,2100000.0,2017-07-06,2017,7
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A4,10031,1,0,1,2000.0,3371.0,1899,1,A4,3200000.0,2017-08-07,2017,8
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A4,10031,1,0,1,1900.0,4122.0,1899,1,A4,3535000.0,2017-03-22,2017,3
Manhattan,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,A4,10030,1,0,1,2000.0,3360.0,1899,1,A4,1000000.0,2016-09-29,2016,9
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B9,10027,2,0,2,2220.0,5138.0,1899,1,B9,1386200.0,2017-03-24,2017,3
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B9,10037,2,0,2,2498.0,3000.0,1909,1,B9,3750000.0,2017-06-05,2017,6
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B3,10037,2,0,2,1686.0,3416.0,1900,1,B3,2450000.0,2017-01-30,2017,1
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10035,2,0,2,1231.0,3240.0,1899,1,B1,1550000.0,2017-03-30,2017,3
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10026,2,0,2,1615.0,3328.0,1998,1,B1,2800000.0,2016-11-16,2016,11
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B2,10026,2,0,2,1817.0,5004.0,1900,1,B2,3500000.0,2017-02-08,2017,2
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,S2,10037,2,1,3,2377.0,4002.0,1910,1,S2,3650000.0,2017-02-17,2017,2
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10027,2,0,2,1799.0,3600.0,1899,1,B1,1670000.0,2017-02-08,2017,2
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10027,2,0,2,1799.0,3600.0,1899,1,B1,1310000.0,2016-11-16,2016,11
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B3,10027,2,0,2,1665.0,3460.0,1914,1,B3,2175000.0,2017-06-21,2017,6
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B3,10030,2,0,2,1749.0,2625.0,1910,1,B3,850000.0,2017-03-27,2017,3
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10030,2,0,2,1599.0,3200.0,1899,1,B1,2000000.0,2016-12-07,2016,12
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B3,10027,2,0,2,1615.0,3840.0,1899,1,B3,500000.0,2016-12-05,2016,12
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B3,10027,2,0,2,1598.0,2340.0,1899,1,B3,2460000.0,2017-05-17,2017,5
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B2,10030,2,0,2,1699.0,4000.0,1910,1,B2,2950000.0,2016-09-23,2016,9
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B9,10030,2,0,2,1472.0,3400.0,1901,1,B9,1550000.0,2016-09-22,2016,9
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10030,2,0,2,1499.0,3000.0,1899,1,B1,1625000.0,2017-04-20,2017,4
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B1,10031,2,0,2,756.0,4320.0,1901,1,B1,3450000.0,2017-03-31,2017,3
Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,B9,10031,2,0,2,1343.0,3400.0,1899,1,B9,2000000.0,2017-06-06,2017,6
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10026,3,0,3,1615.0,3328.0,1909,1,C0,1730000.0,2017-05-30,2017,5
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1998.0,3054.0,1910,1,C0,2685000.0,2016-09-19,2016,9
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10035,3,0,3,1873.0,3046.0,1909,1,C0,2505000.0,2017-03-27,2017,3
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10035,3,0,3,1699.0,2852.0,1900,1,C0,1980000.0,2016-09-15,2016,9
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10026,3,0,3,1817.0,3600.0,1910,1,C0,3250000.0,2016-12-14,2016,12
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1699.0,2646.0,1910,1,C0,2390000.0,2017-08-11,2017,8
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1699.0,2596.0,1910,1,C0,60000.0,2017-06-16,2017,6
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,2495.0,3335.0,2000,1,C0,2200000.0,2016-10-13,2016,10
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1665.0,3332.0,1910,1,C0,2675000.0,2016-12-14,2016,12
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1699.0,3400.0,1910,1,C0,1925000.0,2017-06-27,2017,6
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10027,3,0,3,1699.0,3400.0,1910,1,C0,1700000.0,2017-01-17,2017,1
Manhattan,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,C0,10030,3,0,3,1824.0,3320.0,2000,1,C0,1920000.0,2017-07-26,2017,7
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10026,4,0,4,1682.0,2700.0,1909,2,C3,1320000.0,2017-02-28,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10026,4,0,4,1682.0,2700.0,1909,2,C3,180000.0,2017-02-28,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C5,10027,5,0,5,1799.0,4603.0,1909,2,C5,842500.0,2017-02-15,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10027,4,0,4,1249.0,2058.0,1910,2,C3,1431326.0,2017-08-07,2017,8
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10035,4,0,4,1271.0,5167.0,1910,2,C3,2125000.0,2017-05-15,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C9,10035,4,0,4,2018.0,2994.0,1900,2,C9,1100000.0,2017-01-10,2017,1
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10035,6,0,6,2018.0,2994.0,1910,2,C2,2150000.0,2016-11-22,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10035,7,0,7,1873.0,2919.0,1909,2,C5,1500000.0,2016-12-05,2016,12
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10035,4,0,4,1444.0,4408.0,1930,2,C3,2675000.0,2017-05-05,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10035,4,0,4,1700.0,4400.0,1909,2,C3,2597000.0,2017-08-11,2017,8
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C9,10035,4,0,4,1848.0,2585.0,1900,2,C9,3250000.0,2017-04-13,2017,4
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10037,4,0,4,2498.0,7230.0,1900,2,C3,2450000.0,2016-09-21,2016,9
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10035,4,0,4,1231.0,4140.0,1910,2,C3,2165000.0,2017-04-03,2017,4
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10035,10,0,10,2523.0,8525.0,1900,2,C4,3000000.0,2016-09-08,2016,9
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,10035,8,0,8,2153.0,3424.0,1900,2,C1,1506000.0,2016-12-28,2016,12
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10026,9,0,9,1413.0,3750.0,1900,2,C4,2000000.0,2017-03-20,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10026,8,0,8,1716.0,3213.0,1890,2,C5,1300000.0,2017-05-30,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10026,4,0,4,1716.0,2550.0,1910,2,C3,2298307.0,2017-05-19,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10026,4,0,4,2018.0,3668.0,1929,2,C3,2795000.0,2017-03-17,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10027,7,0,7,1917.0,3806.0,1910,2,C5,1900000.0,2016-09-07,2016,9
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C7,10027,11,1,12,1500.0,5200.0,1910,2,C7,925000.0,2016-12-02,2016,12
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10027,4,0,4,1682.0,4070.0,1910,2,C3,2820000.0,2016-10-14,2016,10
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10027,11,0,11,1499.0,2286.0,1910,2,C5,3003837.0,2017-02-08,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,1,B1,10027,2,0,2,1557.0,2343.0,1910,2,C3,2525000.0,2016-10-25,2016,10
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C4,10027,4,0,4,2498.0,4800.0,1910,2,C4,3760000.0,2016-11-29,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10027,8,0,8,1873.0,2700.0,1910,2,C5,1575000.0,2016-09-15,2016,9
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C5,10027,4,0,4,1665.0,2497.0,1910,2,C5,1600000.0,2017-03-24,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10027,11,0,11,1749.0,2625.0,1910,2,C5,20000.0,2016-09-17,2016,9
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10027,6,0,6,1998.0,3025.0,1939,2,C2,1525000.0,2017-03-31,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10027,5,0,5,1665.0,3334.0,1910,2,C2,2000000.0,2017-05-25,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10027,11,0,11,1499.0,2250.0,1910,2,C5,725000.0,2017-03-16,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10027,7,0,7,1682.0,2561.0,1910,2,C5,530000.0,2017-03-23,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10030,11,0,11,1499.0,2025.0,1910,2,C5,3350000.0,2017-05-25,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10030,11,0,11,1499.0,2025.0,1910,2,C5,1339325.0,2017-05-19,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10030,7,0,7,1699.0,2550.0,1910,2,C5,1365000.0,2016-10-11,2016,10
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10030,4,0,4,1665.0,4290.0,1910,2,C3,2100000.0,2017-05-03,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10030,6,0,6,1599.0,2400.0,1910,2,C2,1300000.0,2017-02-21,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10030,11,0,11,1699.0,2550.0,1910,2,C5,200000.0,2017-05-08,2017,5
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,C5,10030,11,0,11,1699.0,2550.0,1910,2,C5,62500.0,2017-02-14,2017,2
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10030,7,0,7,1799.0,3213.0,1910,2,C5,2060000.0,2017-03-23,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10030,4,0,4,1549.0,3796.0,1983,2,C3,3205500.0,2017-03-17,2017,3
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10026,4,0,4,900.0,2880.0,1901,2,C3,2100000.0,2016-11-28,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10027,9,0,9,1615.0,2973.0,1900,2,C5,1193000.0,2016-11-08,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10027,10,0,10,1700.0,2736.0,1910,2,C5,1655000.0,2017-01-18,2017,1
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10030,6,0,6,1815.0,4034.0,1920,2,C2,1625000.0,2016-11-22,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10030,4,0,4,1608.0,4611.0,1920,2,C3,2495000.0,2016-11-29,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,C5,10031,4,1,5,1599.0,3950.0,1910,2,C5,2081235.0,2017-01-04,2017,1
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10039,6,2,8,1680.0,2118.0,1910,2,C5,1800000.0,2016-11-15,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10030,10,0,10,1667.0,2802.0,1901,2,C5,1244026.0,2016-11-23,2016,11
Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,C5,10030,8,0,8,1667.0,2502.0,1901,2,C5,1600000.0,2017-03-08,2017,3
Manhattan,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT                     ,2A,S3,10027,3,1,4,1680.0,4804.0,1909,2,S3,3550000.0,2017-08-08,2017,8
Manhattan,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT                     ,2A,S9,10026,2,2,4,2546.0,5468.0,1900,2,S9,3880000.0,2017-05-02,2017,5
Manhattan,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,K4,10035,2,2,4,1394.0,3320.0,1900,4,K4,2080000.0,2017-07-20,2017,7
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M9,10027,0,1,1,3088.0,10018.0,1909,4,M9,665000.0,2017-01-26,2017,1
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M1,10027,0,1,1,2498.0,2115.0,1920,4,M1,1000000.0,2017-07-03,2017,7
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M4,10035,0,1,1,1856.0,2620.0,1890,4,M4,1855000.0,2017-05-02,2017,5
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M1,10037,0,1,1,2288.0,3763.0,1910,4,M1,2430000.0,2017-02-17,2017,2
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M9,10027,0,1,1,2523.0,4529.0,1910,4,M9,816666.0,2017-06-14,2017,6
Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,M1,10027,0,1,1,2525.0,8990.0,1901,4,M1,1706800.0,2017-03-07,2017,3
Manhattan,HARLEM-EAST,01 ONE FAMILY DWELLINGS                    ,1,A5,10029,1,0,1,1162.0,2464.0,1890,1,A5,2250000.0,2016-11-22,2016,11
Manhattan,HARLEM-EAST,02 TWO FAMILY DWELLINGS                    ,1,S2,10029,2,1,3,1345.0,2858.0,1900,1,S2,1319700.0,2017-07-12,2017,7
Manhattan,HARLEM-EAST,02 TWO FAMILY DWELLINGS                    ,1,B1,10035,2,0,2,1682.0,3000.0,1899,1,B1,424797.0,2017-02-27,2017,2
Manhattan,HARLEM-EAST,03 THREE FAMILY DWELLINGS                  ,1,C0,10029,3,0,3,2212.0,2898.0,1996,1,C0,2500000.0,2017-04-11,2017,4
Manhattan,HARLEM-EAST,03 THREE FAMILY DWELLINGS                  ,1,C0,10029,3,0,3,2018.0,3680.0,1901,1,C0,1533000.0,2017-07-31,2017,7
Manhattan,HARLEM-EAST,03 THREE FAMILY DWELLINGS                  ,1,C0,10035,3,0,3,1968.0,3420.0,1899,1,C0,2100000.0,2016-09-15,2016,9
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C4,10029,51,0,51,10294.0,37300.0,1910,2,C4,3826858.0,2017-06-29,2017,6
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C4,10029,11,0,11,1875.0,7125.0,1910,2,C4,125500.0,2017-06-29,2017,6
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C1,10029,38,0,38,8074.0,38164.0,1910,2,C1,3730232.0,2017-06-29,2017,6
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10029,10,0,10,2523.0,9600.0,1930,2,C4,2150000.0,2017-05-23,2017,5
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10029,8,0,8,2851.0,7328.0,1910,2,C4,2245945.0,2017-02-21,2017,2
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10029,5,0,5,1716.0,4140.0,1910,2,C2,2550000.0,2017-07-07,2017,7
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,10029,5,0,5,1716.0,4075.0,1910,2,C2,1300000.0,2016-12-08,2016,12
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C7,10029,9,1,10,1083.0,3532.0,1900,2,C7,2300000.0,2016-10-11,2016,10
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C7,10029,9,1,10,1422.0,4809.0,1920,2,C7,2470000.0,2017-07-13,2017,7
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10029,4,0,4,1766.0,2412.0,1890,2,C3,1469500.0,2017-02-08,2017,2
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10029,4,0,4,1766.0,2412.0,1890,2,C3,1900000.0,2016-11-07,2016,11
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C1,10029,16,0,16,2523.0,6592.0,1900,2,C1,3425000.0,2016-12-16,2016,12
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C1,10029,16,0,16,2523.0,7142.0,1900,2,C1,3450000.0,2016-12-16,2016,12
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2,C1,10029,16,0,16,2523.0,6712.0,1900,2,C1,3300000.0,2016-12-16,2016,12
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10029,4,0,4,1817.0,3483.0,1890,2,C3,2300000.0,2016-09-21,2016,9
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,10029,4,0,4,1817.0,2697.0,1910,2,C3,1275000.0,2017-07-27,2017,7
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,10029,10,0,10,5046.0,13125.0,1900,2,C1,800000.0,2017-08-25,2017,8
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,10029,10,0,10,5046.0,13125.0,1900,2,C1,1030000.0,2016-10-14,2016,10
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,10035,10,0,10,2523.0,8125.0,1910,2,C1,3300000.0,2016-09-08,2016,9
Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10029,8,0,8,2523.0,6040.0,1910,2,C4,2250000.0,2016-12-16,2016,12
