wage,hours,IQ,educ,exper,tenure,age,married,black,meduc,feduc
490000,49,82,18,7,8,31,0,0,12,9
1.00E+06,40,112,14,15,4,35,1,0,12,10
865000,40,111,16,11,4,31,1,0,8,5
1375000,40,96,13,3,3,30,1,0,11,8
1586000,40,127,16,16,12,37,1,0,16,16
1602000,65,97,15,14,14,37,1,0,8,NA
3078000,65,120,14,12,13,36,1,0,12,NA
898000,40,101,16,7,9,35,0,0,16,14
906000,40,120,14,16,2,37,1,0,12,12
952000,40,99,13,10,10,31,1,1,8,10
571000,40,78,13,10,1,29,0,1,8,9
445000,45,110,12,15,13,32,0,0,5,11
289000,40,94,12,9,0,30,1,0,5,11
1444000,40,120,16,12,15,37,1,0,17,13
962000,55,108,12,19,21,36,1,0,8,8
1075000,40,103,12,17,10,33,1,0,11,11
909000,55,97,11,17,5,35,1,0,NA,NA
1250000,40,106,12,14,19,35,1,0,11,13
620000,40,99,11,10,5,29,1,1,NA,NA
1016000,40,72,10,14,15,37,1,1,11,NA
8.00E+05,40,88,10,21,14,37,1,1,11,8
1050000,40,119,16,7,18,37,0,0,12,13
1079000,50,87,12,18,9,36,1,0,8,NA
654000,50,121,17,12,13,34,1,0,11,12
781000,50,112,12,8,10,30,1,0,12,8
1038000,48,103,15,8,2,36,1,0,12,15
1924000,50,99,16,16,14,37,1,0,16,18
1202000,40,101,15,15,17,37,1,0,12,12
666000,70,117,15,8,2,32,1,0,NA,NA
905000,45,109,14,11,14,36,1,0,8,8
890000,70,73,12,6,8,31,1,0,12,12
817000,40,116,16,10,7,31,1,0,16,16
812000,40,98,12,10,2,29,0,0,12,12
577000,60,104,14,6,2,30,1,0,14,12
756000,40,78,14,9,2,31,1,0,12,12
1011000,40,104,12,20,7,37,1,0,NA,NA
1155000,45,85,12,14,1,34,1,0,12,12
1025000,40,104,12,12,7,29,1,0,12,10
1350000,40,107,12,17,12,35,1,0,NA,NA
1001000,40,109,12,20,22,37,1,0,8,10
796000,48,119,13,16,15,37,1,1,11,NA
1230000,50,96,13,11,12,30,1,0,10,11
754000,40,93,12,13,1,30,1,0,NA,NA
714000,40,90,12,17,1,37,1,0,12,12
1.00E+06,45,103,15,8,3,32,1,0,12,NA
2067000,40,106,16,12,13,33,1,0,14,12
912000,40,96,16,11,5,30,1,0,14,12
6.00E+05,40,114,12,8,5,30,1,0,8,8
951000,40,86,11,13,1,31,1,0,9,NA
711000,45,110,16,8,5,32,1,0,13,12
1151000,48,87,12,18,9,38,1,0,12,12
1.00E+06,40,89,12,9,5,28,1,0,13,12
841000,44,106,12,15,10,31,1,0,8,NA
4.00E+05,70,100,12,12,3,32,1,0,5,8
1175000,45,111,12,17,14,34,1,0,16,4
1202000,40,100,12,18,2,37,1,0,12,12
1442000,40,114,12,16,17,33,1,0,12,10
538000,55,98,18,5,1,34,1,0,13,NA
781000,40,89,11,13,10,30,1,0,9,8
750000,60,74,10,13,9,30,1,0,11,9
841000,48,110,18,13,1,37,0,1,12,12
7.00E+05,50,130,13,14,1,38,1,0,11,14
1346000,50,108,16,9,4,36,1,0,12,10
8.00E+05,45,98,12,16,12,33,1,0,10,8
1250000,40,125,16,9,10,30,1,0,16,NA
1105000,40,104,16,5,8,29,1,0,12,12
475000,52,98,14,12,1,30,0,0,8,10
762000,58,104,15,6,4,33,1,0,11,12
962000,40,120,12,18,19,36,1,0,8,8
721000,40,134,13,9,9,30,0,0,8,8
8.00E+05,50,92,9,18,13,34,1,0,8,8
658000,40,129,16,11,9,30,1,0,13,16
1270000,40,118,14,4,16,36,1,0,12,12
1313000,40,107,12,11,7,28,1,0,12,NA
824000,42,92,12,19,15,38,1,0,12,11
1442000,40,118,16,6,7,29,1,0,16,12
1400000,42,108,17,7,3,31,1,0,12,14
1038000,50,119,12,20,5,36,1,0,12,8
668000,43,109,12,11,12,29,1,0,8,7
1100000,40,91,12,18,10,36,1,0,8,8
1.00E+06,45,118,14,9,7,30,1,0,12,10
523000,43,119,13,9,2,30,1,0,14,NA
1111000,40,103,14,13,13,31,1,0,14,12
962000,40,120,16,6,4,28,1,0,12,8
729000,47,122,18,6,13,34,1,0,8,6
690000,40,119,12,9,5,28,1,0,8,NA
1010000,50,104,11,15,7,38,1,0,9,6
6.00E+05,40,96,11,7,2,29,1,0,8,8
596000,40,83,12,16,17,34,1,0,8,8
850000,44,115,12,11,1,29,1,0,NA,NA
670000,40,88,12,9,2,29,1,0,10,8
793000,40,96,12,17,18,36,1,0,8,8
1442000,40,123,17,14,7,38,1,0,12,6
670000,50,108,12,14,8,34,1,0,11,7
876000,45,116,16,10,8,29,1,0,12,12
841000,40,109,18,13,2,36,1,0,16,12
975000,40,97,13,8,0,31,1,0,12,12
1223000,40,107,12,7,3,28,1,0,12,10
910000,30,95,12,16,5,35,1,0,12,14
533000,45,109,15,8,2,30,1,0,15,12
750000,40,104,12,15,11,33,1,0,12,12
1206000,40,110,12,16,4,38,1,0,12,12
745000,40,94,13,17,1,36,0,0,13,8
9.00E+05,40,103,12,15,1,37,1,0,8,6
1170000,47,123,14,9,14,32,1,0,8,12
540000,50,113,12,12,3,31,1,0,6,12
550000,40,110,16,15,1,38,1,0,NA,NA
615000,40,100,14,9,4,30,1,0,12,12
909000,40,95,13,6,2,31,1,0,12,12
769000,40,100,12,18,12,36,1,0,8,8
984000,40,108,13,17,18,37,1,0,15,8
833000,60,101,12,15,12,37,1,0,12,NA
879000,70,90,12,17,10,35,0,0,12,16
1027000,45,115,12,16,7,35,1,0,8,5
1.00E+06,55,114,16,10,1,33,1,0,NA,NA
465000,43,84,13,10,1,29,1,0,11,11
1100000,40,92,13,21,12,38,1,1,12,NA
641000,45,125,14,9,0,37,1,0,12,11
1035000,48,107,12,21,14,38,1,0,11,8
1212000,40,129,14,9,3,32,0,0,8,9
950000,40,98,12,11,6,30,1,0,12,12
938000,44,108,12,19,20,38,1,0,8,NA
1250000,40,114,16,8,8,30,1,0,2,8
586000,60,111,18,6,10,34,1,0,12,11
693000,53,101,12,7,6,28,1,0,12,12
562000,40,99,12,18,12,34,0,0,12,12
375000,60,75,12,12,5,30,0,0,12,8
673000,40,91,12,7,11,38,1,0,6,NA
654000,50,113,17,1,13,33,1,0,12,10
692000,50,120,12,17,7,35,1,0,8,NA
1111000,40,98,14,10,1,29,1,0,12,15
1368000,45,107,16,11,1,33,1,0,16,16
1282000,45,121,18,7,13,32,1,0,12,12
1250000,60,115,11,19,4,38,1,0,NA,NA
1346000,40,134,15,15,7,35,1,0,12,10
1424000,50,96,17,15,12,37,1,0,NA,NA
854000,48,120,16,8,5,29,0,0,12,16
888000,50,105,15,9,5,32,0,0,12,10
1161000,50,121,12,5,10,34,1,0,10,NA
583000,58,113,16,9,0,30,1,0,12,9
1260000,45,106,12,5,3,29,1,0,12,13
947000,48,104,18,8,13,35,1,0,9,12
1850000,40,80,11,14,15,33,1,0,10,10
1575000,40,117,12,13,2,30,1,0,10,10
758000,38,126,16,10,8,28,0,0,12,12
1442000,40,112,12,19,15,36,1,0,10,8
489000,55,104,13,20,4,38,1,0,NA,NA
1126000,40,116,12,5,0,31,1,1,9,10
1.00E+06,40,70,12,12,5,32,0,1,8,8
5.00E+05,70,83,12,13,11,32,1,0,6,6
1200000,50,84,12,13,9,32,1,0,6,6
565000,45,82,10,15,3,33,1,0,NA,NA
1920000,40,109,12,13,2,31,1,0,12,8
684000,45,111,14,7,7,29,1,0,12,12
774000,40,94,12,20,4,37,1,0,12,7
233000,60,96,16,7,4,30,1,0,12,8
975000,40,101,13,12,10,30,1,0,12,13
1366000,40,90,12,13,1,30,1,0,12,12
2137000,40,120,16,16,3,37,1,0,12,12
7.00E+05,40,120,16,10,1,29,1,0,12,12
1200000,40,108,12,16,11,33,1,0,8,NA
1161000,40,99,13,16,18,36,1,0,12,8
729000,60,80,11,16,15,34,1,0,12,6
750000,45,93,11,17,2,36,1,0,10,5
1026000,45,85,12,4,16,38,1,0,NA,NA
1111000,45,118,15,11,3,32,1,0,11,10
625000,50,115,12,12,8,31,1,0,12,NA
1200000,42,119,16,11,5,30,1,0,10,11
1541000,40,94,12,8,1,32,1,0,12,11
1154000,40,109,16,12,9,34,1,0,13,16
310000,40,104,13,10,0,33,0,0,14,8
610000,50,89,12,14,4,30,1,0,7,6
1749000,43,101,12,16,17,36,1,0,12,8
1.00E+06,40,96,16,9,1,31,0,0,12,7
350000,40,109,12,14,1,36,1,0,9,7
765000,45,94,12,17,18,37,1,0,4,6
790000,40,115,12,15,2,34,1,0,6,5
818000,47,92,12,16,17,38,1,0,8,4
477000,60,71,9,12,1,30,1,0,11,5
938000,50,130,14,15,1,33,1,0,12,11
2099000,55,119,16,10,4,32,1,0,12,12
350000,40,74,12,14,3,32,1,0,10,13
940000,48,104,12,13,0,32,1,1,12,8
1202000,40,124,15,11,8,28,1,0,10,NA
450000,40,94,15,9,4,31,1,0,12,NA
1058000,40,120,16,16,13,37,1,0,12,4
1.00E+06,40,96,11,15,15,37,1,0,8,9
318000,40,67,12,16,5,36,1,1,7,5
556000,40,69,11,13,9,34,0,1,8,8
958000,60,98,12,11,9,28,1,0,12,11
995000,40,92,9,22,13,38,1,1,7,4
1600000,50,109,14,16,5,33,1,0,9,10
606000,45,100,18,6,5,30,0,0,12,12
511000,45,101,12,13,1,30,1,0,11,12
1411000,45,111,16,11,12,32,1,0,12,9
1346000,40,106,16,15,11,37,1,0,8,14
1522000,46,102,12,15,16,37,1,0,12,10
1075000,40,115,14,9,10,30,1,0,12,10
1200000,50,99,12,11,11,28,1,0,10,8
1377000,37,118,16,15,1,36,1,0,11,10
874000,55,132,13,8,2,33,1,0,13,16
625000,40,108,13,11,9,30,1,0,12,16
1250000,32,98,12,17,2,33,1,0,14,10
1082000,40,111,13,20,12,36,1,0,8,11
693000,40,79,11,18,3,38,1,0,8,8
727000,55,97,12,11,11,31,1,0,12,11
615000,50,99,15,16,15,38,1,0,12,14
913000,40,101,16,5,7,31,1,0,12,NA
884000,46,120,17,4,10,36,1,0,12,18
698000,43,97,12,10,4,29,1,0,8,8
8.00E+05,55,106,12,17,18,36,1,0,8,12
812000,40,131,16,9,3,30,0,0,12,12
1.00E+06,40,93,11,16,14,34,1,0,12,8
549000,49,79,12,11,3,32,0,0,8,8
1300000,35,100,12,13,15,31,1,0,11,NA
923000,50,107,16,9,8,33,1,0,9,8
1539000,40,112,12,15,15,32,1,0,NA,10
721000,40,105,12,11,9,30,1,0,12,10
815000,40,114,12,15,14,31,1,0,12,10
6.00E+05,80,116,12,20,2,38,1,0,8,NA
1100000,40,104,12,18,7,37,1,0,11,13
1058000,40,85,12,18,19,35,1,0,9,12
962000,40,93,12,15,1,30,1,0,9,12
433000,50,100,12,5,9,37,1,0,8,7
940000,40,71,11,9,2,29,1,0,NA,NA
1417000,38,88,16,9,10,32,0,0,12,12
1.00E+06,65,93,12,11,9,29,1,0,12,8
5.00E+05,40,98,13,14,5,32,1,0,12,8
8.00E+05,50,110,14,8,5,28,1,0,12,10
766000,40,109,12,17,18,35,1,0,NA,6
750000,43,94,14,12,10,33,1,0,11,12
550000,40,77,12,15,2,37,1,0,8,8
795000,52,89,11,16,4,34,1,0,NA,NA
723000,40,102,12,12,10,30,1,0,12,6
1039000,40,113,14,12,8,34,1,0,16,14
2.00E+05,55,103,10,11,15,32,1,0,12,5
4.00E+05,40,90,10,12,1,32,1,1,8,NA
575000,40,96,11,17,1,35,1,0,12,7
850000,40,97,11,16,5,37,1,0,12,6
508000,50,87,12,16,1,32,1,1,10,NA
1162000,45,89,12,11,4,37,1,0,15,NA
1199000,43,70,13,13,5,30,1,1,8,NA
1270000,40,104,16,8,4,31,1,0,16,17
350000,45,116,16,5,3,33,1,0,11,12
963000,40,85,14,9,9,28,1,1,7,NA
1463000,45,104,15,14,11,37,1,0,12,12
802000,40,99,12,13,12,29,1,1,9,12
642000,45,93,12,12,7,30,1,1,6,6
751000,40,114,13,9,2,28,1,0,12,10
488000,40,103,17,5,3,31,1,0,12,16
1400000,40,92,12,15,5,36,1,0,6,2
940000,45,98,18,10,7,31,1,0,8,12
866000,40,114,13,15,16,37,1,0,12,NA
675000,40,77,12,20,4,38,1,1,12,6
375000,40,89,14,9,3,30,1,1,13,NA
325000,40,93,14,10,1,33,1,1,16,NA
346000,40,110,12,16,17,38,1,0,12,5
1442000,40,132,17,8,1,33,1,0,8,12
560000,49,112,16,13,2,32,1,0,8,2
550000,56,99,12,17,11,36,1,0,12,12
950000,44,96,16,8,10,32,1,1,10,NA
684000,45,106,13,16,2,38,1,0,12,14
1322000,40,128,16,7,1,33,1,0,18,NA
1634000,40,95,12,18,3,38,1,0,NA,3
417000,40,80,12,8,0,30,0,0,8,7
472000,45,71,11,9,0,32,1,0,6,6
666000,50,89,12,16,1,34,1,1,9,NA
1679000,55,127,18,10,3,32,1,0,12,16
1039000,40,114,16,1,9,31,0,0,8,8
1250000,40,102,13,13,11,30,1,0,7,NA
760000,40,88,12,12,15,31,1,0,12,7
1154000,42,88,12,14,12,29,1,0,12,7
1602000,60,110,15,14,1,37,1,0,14,12
1442000,40,110,13,13,13,29,1,1,7,9
865000,40,130,16,5,3,30,1,0,8,12
705000,50,100,12,15,12,36,1,0,NA,NA
1.00E+06,40,101,12,16,1,35,1,0,12,NA
852000,44,89,10,13,9,32,1,0,9,NA
770000,40,80,12,16,14,35,1,0,12,12
1.00E+06,40,72,12,16,9,34,1,0,12,12
1329000,55,115,18,10,5,36,1,0,12,12
1682000,40,115,16,10,4,37,1,0,12,17
577000,55,108,16,4,0,31,1,1,8,8
685000,40,93,12,17,7,38,0,0,8,3
577000,40,111,16,8,8,29,0,1,18,18
1040000,40,101,12,19,9,38,1,1,11,12
1250000,40,92,16,10,11,32,0,0,12,10
6.00E+05,40,115,13,7,7,28,0,0,5,NA
480000,40,76,12,17,3,35,0,1,11,10
1.00E+06,40,93,11,11,0,29,1,0,12,12
988000,48,91,12,15,15,36,1,0,8,8
478000,45,90,10,19,10,34,1,0,9,9
440000,40,84,12,11,2,30,1,1,9,4
485000,40,120,12,11,1,30,1,1,NA,NA
705000,40,89,9,19,0,36,1,1,NA,NA
1550000,40,104,12,16,1,34,1,0,9,10
960000,40,107,12,11,9,29,1,1,6,9
1.00E+06,40,100,12,16,14,32,1,0,12,12
625000,40,129,18,4,5,36,1,0,15,15
1346000,40,112,16,14,14,35,1,0,12,16
