Sold Price,DOM,Garage Capacity,HOA Fee,Irregular Shape,Quadrant,School District,Sold Terms,Total Bedrooms,Total Bathrooms,Total Square Feet,Year Built,Zip,year_sold,month_sold,built_after_2000
242500,5,2,0,Yes,NE,Cache,Conventional,3,3,1741,2009,84318,2018,8,1
275000,5,2,0,No,NE,Cache,FHA,4,2,2526,1983,84318,2018,6,0
370000,5,2,0,No,NE,Cache,Conventional,3,2,2806,2019,84318,2020,9,1
435000,5,3,0,Yes,NE,Cache,Conventional,5,4,3569,1993,84318,2018,9,0
500000,5,3,0,No,NE,Cache,Conventional,5,3,3908,2012,84318,2020,6,1
478120,5,3,10,No,SE,Cache,Conventional,5,3,4417,2007,84318,2020,7,1
624900,5,4,100,No,SE,Cache,Conventional,6,5,4768,2005,84318,2019,2,1
185000,6,0,0,Yes,SE,Cache,USDA Rural Development,5,3,2160,1940,84318,2018,6,0
219000,6,1,0,No,NW,Cache,Conventional,3,2,1838,1917,84318,2020,5,0
241900,6,2,0,No,SW,Cache,Conventional,4,2,1669,2011,84318,2019,4,1
246000,6,2,0,No,NW,Cache,FHA,4,2,1638,1998,84318,2019,8,0
288000,6,1,0,Yes,NW,Cache,Conventional,3,2,2486,1917,84318,2020,6,0
388285,6,3,100,No,NE,Cache,Cash,3,2,3645,2019,84318,2019,7,1
412000,6,3,115,No,NE,Cache,Cash,6,3,3739,2013,84318,2018,6,1
425000,6,3,0,No,NE,Cache,Conventional,5,3,3460,2020,84318,2020,2,1
685000,6,3,0,No,SE,Cache,Conventional,6,4,4846,2018,84318,2020,9,1
255000,7,2,0,No,NW,Cache,USDA Rural Development,6,2,2160,1979,84318,2019,12,0
295000,7,2,0,Yes,SE,Cache,Conventional,5,2,2485,1986,84318,2019,6,0
299000,8,2,100,No,SW,Cache,Cash,3,2,1500,2020,84318,2020,11,1
302000,8,2,0,No,SE,Cache,Conventional,4,3,2916,1961,84318,2019,10,0
490000,8,13,0,No,SW,Cache,Conventional,4,3,2656,1992,84318,2020,5,0
202000,9,1,0,No,NW,Cache,Conventional,4,1,1588,1929,84318,2019,1,0
349000,10,2,0,Yes,NE,Cache,Conventional,4,2,2432,1975,84318,2020,11,0
785000,10,7,0,No,NE,Cache,Conventional,5,4,5974,1992,84318,2020,11,0
192500,11,1,0,No,NW,Cache,VA,4,1,1303,1894,84318,2019,5,0
210000,11,0,0,No,NW,Cache,Conventional,4,2,1908,1980,84318,2019,2,0
440000,11,3,0,No,SW,Cache,Conventional,4,3,2555,2020,84318,2020,11,1
221900,12,2,0,No,NE,Cache,FHA,4,2,2096,1973,84318,2018,4,0
394000,13,3,0,No,SW,Cache,FHA,4,3,2555,2020,84318,2020,3,1
494900,13,3,0,No,NE,Cache,Conventional,6,5,4526,2007,84318,2019,5,1
406000,14,2,0,No,SE,Cache,Conventional,5,3,3526,1980,84318,2020,9,0
312500,15,2,0,No,NE,Cache,Conventional,5,3,3083,1988,84318,2020,6,0
453000,15,3,100,No,NE,Cache,Other,5,3,3804,2010,84318,2020,8,1
269900,18,2,80,No,SW,Cache,Conventional,2,2,1215,2020,84318,2020,8,1
224000,19,0,0,Yes,NW,Cache,USDA Rural Development,3,1,1616,1901,84318,2019,10,0
285000,19,2,80,No,SW,Cache,Conventional,3,2,1545,2020,84318,2020,5,1
559900,19,3,100,No,SE,Cache,Conventional,7,5,4955,2007,84318,2019,6,1
355000,21,3,0,No,SE,Cache,Conventional,3,2,3448,2020,84318,2020,5,1
380000,22,6,0,No,NE,Cache,Conventional,3,2,2131,1998,84318,2019,9,0
288000,23,2,0,No,NE,Cache,Conventional,6,3,2700,2005,84318,2018,3,1
355000,23,3,0,No,NE,Cache,Cash,3,2,3519,2014,84318,2018,7,1
440000,25,3,0,No,NE,Cache,Conventional,5,3,2919,2019,84318,2020,8,1
268000,27,2,0,No,SE,Cache,Conventional,4,2,2294,1973,84318,2019,2,0
345500,27,2,0,No,SE,Cache,Conventional,5,4,2702,1999,84318,2020,8,0
375000,27,4,0,No,SE,Cache,Conventional,3,2,3860,2020,84318,2020,6,1
274900,30,2,0,No,NE,Cache,Conventional,3,2,2688,1975,84318,2020,8,0
294000,30,2,80,No,SW,Cache,Conventional,3,2,1578,2019,84318,2020,8,1
332000,30,4,100,No,NE,Cache,Conventional,5,3,3323,2013,84318,2019,8,1
285000,31,0,0,No,NW,Cache,Conventional,4,1,2820,1900,84318,2019,8,0
291000,31,2,0,No,NE,Cache,Conventional,4,3,2546,1987,84318,2018,11,0
375000,31,3,100,No,NE,Cache,Conventional,3,3,3356,2017,84318,2019,9,1
439000,31,3,0,No,NW,Cache,Conventional,6,3,3575,2010,84318,2020,7,1
314000,32,1,0,No,SE,Cache,Cash,4,2,1695,1949,84318,2020,10,0
340000,32,2,0,No,NE,Cache,Conventional,6,3,2700,2005,84318,2019,8,1
359900,33,3,0,No,SW,Cache,Conventional,3,2,1950,2019,84318,2019,8,1
383345,34,3,100,No,NE,Cache,Other,3,2,3651,2020,84318,2020,8,1
290000,35,2,0,No,SE,Cache,Conventional,4,3,2606,1973,84318,2019,7,0
295000,35,2,0,No,SW,Cache,Conventional,5,3,2158,2010,84318,2018,5,1
342670,35,3,100,No,NE,Cache,Conventional,3,3,3332,2018,84318,2018,7,1
334500,35,2,0,No,NW,Cache,FHA,5,3,3189,2007,84318,2019,4,1
385000,35,3,100,No,NE,Cache,USDA Rural Development,5,4,3059,2017,84318,2019,4,1
499900,35,3,0,No,NE,Cache,Cash,6,3,4243,2013,84318,2019,3,1
327900,36,2,0,No,NE,Cache,Conventional,5,3,3222,2004,84318,2018,10,1
345000,38,4,0,No,NW,Cache,Conventional,5,3,2878,2003,84318,2018,9,1
430000,38,2,100,Yes,NE,Cache,Conventional,4,3,3479,2011,84318,2019,6,1
362000,39,4,0,No,SE,Cache,Cash,3,2,3635,2020,84318,2020,7,1
185000,40,0,0,No,NW,Cache,Conventional,4,2,1507,2002,84318,2019,3,1
254000,40,2,75,Yes,NW,Cache,Other,2,2,1324,2008,84318,2020,3,1
300000,40,2,0,No,NE,Cache,FHA,5,3,2794,1970,84318,2020,6,0
415000,42,3,0,No,SW,Cache,Conventional,5,3,3546,2007,84318,2019,6,1
210000,43,2,0,No,NW,Cache,Conventional,4,2,1968,1980,84318,2018,11,0
353000,43,3,0,No,NE,Cache,Conventional,3,2,3108,2019,84318,2020,2,1
479900,44,3,0,No,NE,Cache,Conventional,3,2,4438,2019,84318,2020,4,1
279900,45,2,80,No,SW,Cache,Cash,3,2,1545,2019,84318,2019,5,1
380000,45,2,0,No,SE,Cache,FHA,5,3,3104,2008,84318,2020,7,1
294000,46,2,0,No,SE,Cache,Conventional,5,3,2180,1994,84318,2020,5,0
501650,46,2,100,No,NE,Cache,Conventional,3,3,3992,2020,84318,2020,11,1
339000,49,2,0,No,NE,Cache,Conventional,5,3,2750,1991,84318,2019,12,0
262000,50,2,0,No,SE,Cache,USDA Rural Development,5,2,2092,1995,84318,2019,11,0
253200,52,2,0,Yes,NE,Cache,Conventional,3,2,2240,1965,84318,2019,6,0
254900,53,0,0,No,NE,Cache,Conventional,4,2,2190,1921,84318,2018,12,0
386505,54,3,100,No,NE,Cache,Cash,3,3,3645,2018,84318,2018,9,1
265000,55,2,80,No,SW,Cache,VA,3,2,1432,2019,84318,2020,1,1
289900,57,2,0,No,SW,Cache,FHA,6,3,2833,2004,84318,2018,6,1
394000,57,2,0,No,SW,Cache,Conventional,3,2,3776,2016,84318,2019,10,1
276500,60,2,80,No,SW,Cache,Cash,3,2,1578,2019,84318,2020,6,1
355000,60,3,0,No,SE,Cache,Conventional,3,2,3448,2020,84318,2020,4,1
337900,62,3,0,No,SW,Cache,Other,5,3,2880,2008,84318,2018,6,1
400000,62,2,120,No,NE,Cache,Cash,5,3,3445,2012,84318,2019,10,1
327000,64,2,0,No,NE,Cache,Conventional,6,4,3245,1992,84318,2019,6,0
285000,67,2,0,No,SW,Cache,FHA,6,3,2778,2001,84318,2019,3,1
349900,67,3,100,No,NE,Cache,FHA,4,3,3241,2017,84318,2018,2,1
325000,69,2,0,No,SE,Cache,Conventional,5,3,3136,1963,84318,2020,7,0
434000,69,3,0,Yes,NW,Cache,Conventional,6,3,3802,2004,84318,2020,3,1
374300,70,3,0,No,SW,Cache,Cash,3,3,3244,2011,84318,2018,1,1
345500,71,3,0,No,SW,Cache,Conventional,5,3,3388,2007,84318,2019,3,1
317500,73,2,0,No,NW,Cache,Conventional,6,3,2704,1999,84318,2019,1,0
441900,73,2,0,Yes,SE,Cache,VA,5,4,4590,1988,84318,2018,12,0
378500,76,2,0,No,NE,Cache,Conventional,6,3,3580,1995,84318,2019,8,0
370000,78,3,0,No,NW,Cache,Conventional,5,3,3176,2007,84318,2019,12,1
270000,80,2,0,No,NE,Cache,Conventional,5,3,3300,1994,84318,2018,1,0
362900,81,3,0,No,NW,Cache,Conventional,5,3,3566,2011,84318,2018,8,1
899000,83,3,0,No,SE,Cache,Cash,6,4,6229,2019,84318,2020,5,1
305000,84,2,100,No,NE,Cache,Conventional,6,3,2560,2009,84318,2019,2,1
330000,86,2,0,No,SW,Cache,Conventional,5,3,2688,2011,84318,2018,11,1
315000,88,2,100,No,NE,Cache,Other,5,4,3169,2010,84318,2018,6,1
292500,89,2,0,No,NE,Cache,USDA Rural Development,5,4,2995,1996,84318,2019,5,0
348000,91,2,0,No,NE,Cache,Conventional,5,3,2436,1990,84318,2020,4,0
368000,92,2,0,Yes,SE,Cache,Conventional,6,3,3590,2003,84318,2018,12,1
364900,93,3,0,No,SW,Cache,Conventional,4,3,2580,2019,84318,2019,9,1
369900,93,2,0,No,SE,Cache,Other,3,2,3560,2019,84318,2019,8,1
340000,96,2,0,No,NE,Cache,FHA,3,2,2806,2019,84318,2020,2,1
303500,99,2,125,No,NE,Cache,Conventional,3,2,1673,2020,84318,2020,8,1
357915,100,3,100,No,NE,Cache,Conventional,3,2,3114,2018,84318,2018,4,1
312500,101,2,100,No,NE,Cache,Conventional,5,4,3133,2009,84318,2018,7,1
385000,101,2,0,No,NE,Cache,Conventional,5,3,3354,2010,84318,2020,3,1
341900,106,3,0,No,SE,Cache,Conventional,6,4,3442,1991,84318,2018,2,0
640000,106,3,125,Yes,SE,Cache,Cash,5,4,5787,2007,84318,2020,9,1
376000,108,2,100,No,NE,Cache,Conventional,4,3,3969,2011,84318,2019,8,1
318000,131,2,0,No,NW,Cache,Conventional,5,3,2640,2003,84318,2019,8,1
579900,147,3,0,Yes,NE,Cache,Cash,3,4,5013,1992,84318,2020,4,0
320000,148,3,100,No,NE,Cache,Conventional,3,2,3323,2013,84318,2018,2,1
410230,166,3,100,No,NE,Cache,Other,3,2,3106,2020,84318,2020,6,1
309900,173,3,0,No,NE,Cache,FHA,3,3,2918,2018,84318,2018,12,1
390000,208,2,0,No,SW,Cache,Other,3,2,2792,2007,84318,2020,7,1
327000,214,3,100,No,NE,Cache,FHA,3,3,3356,2017,84318,2018,3,1
220000,238,1,0,No,NE,Cache,USDA Rural Development,3,2,1344,1919,84318,2019,6,0
362900,242,3,100,No,NE,Cache,Other,3,3,3332,2018,84318,2020,1,1
575000,282,3,125,Yes,SE,Cache,Cash,5,4,5113,2007,84318,2018,7,1
166400,1,2,0,No,SE,Cache,Conventional,3,1,2184,1976,84319,2018,2,0
185000,1,2,90,No,SE,Cache,FHA,2,3,1509,2009,84319,2018,6,1
189000,1,0,34,No,SE,Cache,Conventional,2,1,1840,2002,84319,2018,6,1
195000,1,0,35,No,NE,Cache,Conventional,4,1,1836,1999,84319,2018,12,0
225000,1,0,0,No,SE,Cache,USDA Rural Development,4,1,2240,2001,84319,2019,5,1
236000,1,0,0,No,SE,Cache,FHA,4,3,2032,1995,84319,2019,10,0
239000,1,2,0,No,SE,Cache,FHA,3,2,2516,2017,84319,2018,8,1
241999,1,2,0,No,NW,Cache,FHA,4,3,1950,1962,84319,2019,3,0
257900,1,2,0,No,SE,Cache,USDA Rural Development,5,4,2008,1998,84319,2019,3,0
278000,1,2,0,No,NW,Cache,USDA Rural Development,3,2,1480,1972,84319,2020,6,0
278000,1,2,0,No,SE,Cache,Conventional,5,2,2142,1995,84319,2020,4,0
270000,1,1,0,Yes,SW,Cache,USDA Rural Development,3,2,2080,1947,84319,2020,1,0
287900,1,2,0,No,NW,Cache,Conventional,5,3,2450,1959,84319,2020,7,0
304900,1,2,0,No,SE,Cache,Conventional,3,2,3100,2019,84319,2019,11,1
158000,2,1,110,No,SE,Cache,Conventional,2,1,1183,2011,84319,2019,4,1
185000,2,1,0,No,SE,Cache,Conventional,3,1,1320,1922,84319,2019,12,0
196400,2,2,0,Yes,SE,Cache,FHA,4,1,1737,1977,84319,2019,7,0
194000,2,2,110,No,SE,Cache,FHA,3,3,1460,2019,84319,2019,6,1
193400,2,2,0,No,SE,Cache,FHA,2,1,1866,1947,84319,2019,2,0
195000,2,0,0,No,SE,Cache,Conventional,4,2,2398,1999,84319,2018,9,0
207000,2,2,0,No,SE,Cache,Conventional,4,2,1728,1971,84319,2018,4,0
205000,2,2,110,No,SE,Cache,USDA Rural Development,3,3,1494,2009,84319,2019,4,1
235000,2,0,0,No,SE,Cache,Conventional,3,1,1563,1900,84319,2020,8,0
232000,2,2,85,No,NW,Cache,Conventional,3,3,1825,2016,84319,2020,9,1
233000,2,0,0,No,NW,Cache,USDA Rural Development,4,1,1623,1907,84319,2020,7,0
245000,2,2,0,No,NE,Cache,VA,4,2,2182,1994,84319,2018,9,0
243000,2,2,0,No,NW,Cache,FHA,4,3,3574,2016,84319,2018,4,1
250000,2,0,0,No,SE,Cache,Other,4,2,2012,1999,84319,2020,2,0
249900,2,2,10,No,NW,Cache,Conventional,4,2,2167,2000,84319,2019,11,1
265000,2,2,0,No,SW,Cache,Conventional,4,2,2070,1971,84319,2020,6,0
269900,2,4,0,No,NW,Cache,FHA,4,2,2788,1966,84319,2019,6,0
270000,2,2,0,Yes,SE,Cache,Conventional,3,3,1855,2003,84319,2020,4,1
284000,2,2,0,No,SE,Cache,FHA,4,3,2384,1974,84319,2020,4,0
278000,2,3,0,No,SE,Cache,Conventional,4,3,2812,2007,84319,2018,9,1
293500,2,2,0,No,SE,Cache,Conventional,3,2,2953,2017,84319,2020,3,1
326000,2,2,0,No,NW,Cache,VA,5,3,2427,2006,84319,2020,4,1
331000,2,2,0,No,NE,Cache,Conventional,4,2,2252,1994,84319,2020,10,0
363300,2,2,35,No,SE,Cache,Conventional,3,2,3208,2020,84319,2020,11,1
394900,2,4,0,Yes,SE,Cache,FHA,3,2,3386,2020,84319,2020,3,1
178000,3,1,110,No,SE,Cache,USDA Rural Development,2,1,1085,2011,84319,2020,5,1
199800,3,2,60,No,NW,Cache,FHA,3,3,1785,2018,84319,2018,7,1
199900,3,2,0,No,SE,Cache,USDA Rural Development,4,2,1974,1973,84319,2018,2,0
208000,3,1,0,No,SW,Cache,FHA,4,1,1784,1891,84319,2019,10,0
210800,3,0,0,No,SW,Cache,FHA,2,1,905,1919,84319,2020,6,0
205000,3,2,60,No,NW,Cache,USDA Rural Development,3,3,1785,2018,84319,2019,4,1
205000,3,2,110,No,SE,Cache,Cash,3,3,1460,2019,84319,2019,7,1
209900,3,0,0,No,SE,Cache,Conventional,3,1,2180,2001,84319,2018,7,1
214900,3,0,0,Yes,SE,Cache,Conventional,4,1,2123,2005,84319,2018,6,1
218500,3,2,0,No,SE,Cache,Conventional,4,1,2128,1994,84319,2018,6,0
215000,3,0,0,No,SE,Cache,Conventional,4,2,2028,1999,84319,2018,7,0
230225,3,2,0,No,NE,Cache,FHA,4,2,2302,1961,84319,2018,3,0
230000,3,0,0,No,SE,Cache,Conventional,4,2,2064,1975,84319,2019,7,0
221900,3,2,110,No,SE,Cache,USDA Rural Development,3,3,1460,2020,84319,2020,8,1
223900,3,0,35,No,SE,Cache,FHA,5,2,2185,1996,84319,2019,5,0
228900,3,2,110,No,SE,Cache,FHA,3,3,1460,2020,84319,2020,9,1
225500,3,2,75,No,SE,Cache,Cash,3,2,1547,2016,84319,2019,6,1
235500,3,2,85,No,NW,Cache,Conventional,3,3,1816,2016,84319,2020,8,1
232000,3,2,32,No,SE,Cache,Conventional,5,3,2260,1997,84319,2019,2,0
235500,3,2,85,No,NW,Cache,Other,3,3,1789,2016,84319,2020,11,1
265000,3,0,0,No,SE,Cache,USDA Rural Development,4,3,2648,1916,84319,2018,5,0
263000,3,3,0,Yes,NW,Cache,Conventional,4,3,1958,2000,84319,2018,7,1
220000,3,2,0,No,SE,Cache,Cash,5,2,2548,1973,84319,2020,9,0
295000,3,2,0,No,NW,Cache,Conventional,5,3,2406,2003,84319,2019,5,1
310000,3,2,0,No,SE,Cache,USDA Rural Development,5,2,2124,1995,84319,2020,9,0
300000,3,2,0,No,SE,Cache,FHA,4,2,1786,1997,84319,2020,10,0
329900,3,2,0,No,NW,Cache,Conventional,3,3,3717,2012,84319,2018,2,1
394000,3,2,35,No,SE,Cache,Conventional,3,2,3530,2020,84319,2020,10,1
409900,3,3,0,No,SE,Cache,Conventional,4,3,2469,2020,84319,2020,9,1
184044,4,0,0,No,NE,Cache,Other,3,2,2248,1936,84319,2019,3,0
207500,4,2,0,No,SE,Cache,Other,5,2,2160,1975,84319,2019,8,0
213550,4,0,0,No,SE,Cache,Conventional,3,1,2134,1998,84319,2019,7,0
223000,4,2,0,No,SE,Cache,Conventional,4,2,2184,1974,84319,2018,7,0
224900,4,0,0,No,SE,Cache,FHA,6,2,2134,1998,84319,2018,7,0
245250,4,1,0,No,SE,Cache,VA,4,2,2062,1975,84319,2019,10,0
249000,4,2,0,No,SE,Cache,Conventional,5,3,2554,2003,84319,2018,7,1
261900,4,2,10,No,NW,Cache,FHA,5,3,2252,2000,84319,2018,12,1
251000,4,3,0,No,SW,Cache,Cash,4,3,2666,1954,84319,2019,4,0
283500,4,2,0,Yes,SE,Cache,Other,3,3,1928,2016,84319,2019,2,1
290000,4,2,0,No,SE,Cache,Conventional,4,3,2520,1973,84319,2020,7,0
277000,4,0,0,No,SE,Cache,USDA Rural Development,5,2,1953,1994,84319,2020,9,0
295000,4,2,0,No,SE,Cache,FHA,6,3,3424,1995,84319,2019,10,0
360000,4,2,33,No,SE,Cache,Conventional,4,2,2470,2018,84319,2020,10,1
415000,4,2,0,No,NW,Cache,USDA Rural Development,6,3,3452,2000,84319,2020,6,1
429132,4,2,0,Yes,SE,Cache,Conventional,5,3,3456,2014,84319,2020,9,1
139900,5,1,90,No,SE,Cache,Conventional,2,1,983,2012,84319,2018,8,1
182000,5,2,90,No,SE,Cache,USDA Rural Development,3,3,1383,2011,84319,2018,6,1
202350,5,2,0,No,SE,Cache,Conventional,5,1,2146,1971,84319,2018,12,0
200000,5,1,0,No,SW,Cache,FHA,2,1,1446,1941,84319,2019,7,0
203000,5,0,0,No,SE,Cache,USDA Rural Development,4,2,1962,2000,84319,2018,4,1
215900,5,2,110,No,SE,Cache,USDA Rural Development,3,3,1404,2020,84319,2020,8,1
230000,5,1,0,No,NW,Cache,Cash,5,3,3139,1961,84319,2018,9,0
230000,5,0,0,No,SE,Cache,FHA,5,2,2107,1998,84319,2019,8,0
232500,5,2,35,No,SE,Cache,USDA Rural Development,4,2,2155,1997,84319,2018,9,0
225000,5,2,110,No,SE,Cache,Conventional,3,3,1560,2018,84319,2020,3,1
246000,5,2,35,No,SE,Cache,Other,5,3,2272,1999,84319,2019,4,0
243000,5,0,0,No,SW,Cache,FHA,4,3,1532,2017,84319,2018,6,1
265000,5,0,0,Yes,SE,Cache,USDA Rural Development,2,2,2164,2005,84319,2020,8,1
264900,5,2,110,No,SE,Cache,Conventional,3,4,2134,2009,84319,2020,8,1
277000,5,2,0,No,SE,Cache,Cash,5,2,1938,2002,84319,2020,8,1
297000,5,2,0,No,NW,Cache,Conventional,3,2,2652,2004,84319,2020,3,1
349900,5,3,0,Yes,SE,Cache,Conventional,6,3,3126,2006,84319,2019,8,1
440000,5,2,0,No,SE,Cache,Conventional,5,3,3124,2006,84319,2020,9,1
152500,6,1,110,No,SE,Cache,FHA,2,1,998,2011,84319,2018,12,1
165000,6,0,0,No,NE,Cache,USDA Rural Development,2,2,960,1977,84319,2020,10,0
183900,6,2,90,No,SE,Cache,FHA,3,3,1370,2010,84319,2018,7,1
187100,6,0,0,No,NW,Cache,FHA,4,2,1640,1953,84319,2018,10,0
198200,6,0,0,No,SE,Cache,USDA Rural Development,6,2,2236,1999,84319,2018,7,0
210000,6,2,0,No,SW,Cache,Conventional,3,2,1084,2003,84319,2019,2,1
242500,6,2,33,No,SE,Cache,USDA Rural Development,4,2,1460,1997,84319,2019,9,0
271000,6,2,0,No,NW,Cache,Conventional,3,2,1548,2018,84319,2018,6,1
