DATE,GDP
2013-01-01,16569.591
2013-04-01,16637.926
2013-07-01,16848.748
2013-10-01,17083.137
2014-01-01,17104.555
2014-04-01,17432.909
2014-07-01,17721.657
2014-10-01,17849.912
2015-01-01,17984.178
2015-04-01,18219.405
2015-07-01,18344.713
2015-10-01,18350.825
2016-01-01,18424.283
2016-04-01,18637.253
2016-07-01,18806.743
2016-10-01,18991.883
2017-01-01,19190.431
2017-04-01,19356.649
2017-07-01,19611.704
2017-10-01,19918.91
2018-01-01,20163.159
2018-04-01,20510.177
2018-07-01,20749.752
2018-10-01,20897.804
2019-01-01,21098.827
2019-04-01,21339.121
