home_ownership,income,dti,fico,loan_status
1,31.74,33.53,670,1
0,23,33.51,670,1
0,65,33.49,690,1
1,50,33.49,675,0
0,86,33.46,715,1
1,69,33.46,685,1
1,80,33.44,695,0
0,50.736,33.44,675,0
1,55,33.43,660,1
1,70,33.38,670,1
0,33.7,33.37,670,1
1,35,33.3,670,1
1,105.8,33.29,675,1
1,32,33.27,675,1
1,70,33.14,725,0
1,55,33.01,660,0
1,24.5,32.93,665,0
0,34,32.9,700,1
0,39,32.89,695,1
0,48,32.88,705,0
1,73,32.86,675,0
0,37.921,32.85,705,0
1,59,32.77,665,0
1,66.3,32.76,705,1
1,55,32.73,680,0
0,40,32.73,720,1
1,50,32.72,670,1
1,92.081,32.71,665,1
1,29.4,32.69,690,0
0,84,32.65,680,1
1,60,32.64,670,0
0,22,32.62,675,0
0,41,32.55,670,0
0,53,32.54,665,0
0,50,32.45,680,1
1,68,32.44,700,1
1,60,32.44,670,0
1,120,32.41,660,1
1,55,32.4,775,1
0,68,32.39,700,1
1,45,32.37,700,0
1,125,32.36,670,1
1,46.166,32.36,710,1
1,36.424,32.34,690,1
1,42,32.29,665,1
0,84,32.23,735,1
1,52,32.23,715,0
1,34,32.23,670,0
0,62,32.17,705,1
1,35,32.17,745,1
0,36,32.13,660,1
1,75.885,32.12,660,1
1,70,32.11,680,1
1,51,32.09,695,1
1,105,32.08,680,0
1,98,32.07,690,1
1,38,32.03,700,0
0,20,31.99,675,1
0,70,31.94,730,0
0,27,31.91,690,1
1,44,31.9,670,1
1,87.606,31.86,720,1
0,55,31.84,660,1
0,50,31.81,665,1
0,44,31.78,785,0
0,38,31.78,690,1
1,130,31.75,705,0
0,110,31.73,660,0
0,63,31.73,685,0
1,25.488,31.69,665,0
1,51,31.66,695,0
1,110,31.62,670,1
1,50,31.59,700,0
0,85,31.51,695,1
1,68,31.49,670,1
0,75,31.48,695,1
1,65,31.48,700,0
1,43,31.48,710,1
1,94,31.47,660,0
0,31,31.43,660,0
1,75,31.42,660,0
1,27,31.42,685,0
0,58,31.41,670,1
1,72,31.38,690,1
0,35,31.38,660,0
0,52,31.34,675,1
1,48.72192,31.28,700,1
0,58,31.22,660,1
1,57,31.2,700,0
0,53,31.2,690,1
0,34,31.2,660,0
1,100,31.17,690,1
0,68,31.13,680,1
1,72,31.12,685,0
0,52,31.06,680,1
1,30,31.04,730,1
1,70.5941,31.03,670,1
0,44,31.02,715,1
1,180,31.01,715,1
0,43,30.98,710,0
1,85,30.96,685,1
1,55,30.92,695,1
0,58.5,30.91,680,0
1,71,30.87,715,0
1,98,30.85,690,1
1,90,30.85,710,1
1,74,30.77,685,0
0,43.256,30.76,680,0
1,105,30.75,685,1
1,81,30.74,755,1
0,21.651,30.71,700,0
1,58,30.68,725,1
1,27,30.67,670,1
0,37,30.65,690,1
1,65,30.62,665,1
0,58,30.62,660,1
1,60,30.6,690,1
1,56,30.58,685,1
0,110,30.56,690,0
0,64.833,30.56,685,1
0,30,30.52,690,1
0,55,30.5,695,0
0,67,30.49,675,1
1,48,30.47,720,0
1,110,30.42,735,1
0,96,30.41,675,1
1,91.216,30.34,670,1
1,130,30.31,745,1
1,55,30.31,690,0
1,157,30.28,660,1
0,60,30.28,685,1
1,107,30.25,710,1
1,74,30.25,660,0
1,65,30.24,695,1
0,57,30.23,690,1
1,59,30.21,705,1
0,52,30.19,710,0
0,22,30.17,695,1
1,140,30.13,790,1
0,48,30.13,675,0
0,32,30.13,695,1
1,147.824,30.06,670,0
1,70,30.05,700,1
0,30,30.05,685,0
1,59.885,30.03,685,0
1,32,30.03,710,0
1,67,30.01,680,1
0,63,30,700,1
1,58.564,30,670,1
1,30,29.96,670,0
0,22,29.95,675,1
1,93.447,29.94,660,0
0,63,29.92,680,0
1,79.6,29.9,675,0
0,35,29.9,660,1
1,53,29.89,720,0
0,60,29.86,685,0
0,58,29.86,720,1
1,35.654,29.86,740,0
0,47,29.77,665,0
1,40,29.77,675,1
0,35,29.77,730,1
1,108,29.76,660,0
1,95,29.75,725,1
1,76,29.75,705,1
1,55,29.74,690,1
1,40,29.73,680,0
1,100,29.7,725,1
1,71,29.68,695,0
0,36,29.67,680,0
1,53,29.64,680,1
0,36,29.63,695,0
1,72,29.62,690,1
1,50.4,29.62,670,1
0,76,29.56,680,0
1,48,29.55,660,0
0,69,29.51,665,0
1,101.325,29.47,665,0
0,41,29.45,680,1
1,27.3,29.44,745,1
1,111,29.4,680,1
1,49,29.39,685,1
1,94,29.35,705,1
1,46,29.32,720,0
0,79,29.3,680,0
1,70,29.3,670,0
0,28.75,29.27,685,0
0,45,29.25,675,0
0,70,29.21,680,1
0,70,29.18,715,1
1,75.5,29.17,715,1
1,95,29.16,690,1
0,67,29.14,665,0
0,90,29.11,685,0
1,90.68,29.1,660,1
1,100,29.09,675,0
1,108,29.08,705,1
1,150,29.07,685,1
0,62,29.06,670,1
1,100,29.03,660,1
1,80,29.03,715,1
0,85,29.02,695,1
1,49,29.02,670,1
0,57,29.01,675,1
0,35,29.01,660,0
1,87,28.99,705,1
1,111,28.98,670,0
0,48,28.95,725,1
1,75,28.91,695,1
0,60,28.91,705,1
1,70.62,28.87,715,1
0,60,28.86,665,1
0,47,28.85,715,0
1,41,28.83,690,1
0,56.976,28.77,660,0
0,30,28.76,670,1
1,30,28.76,685,1
1,72,28.75,665,1
1,56,28.74,670,0
1,40.438,28.73,685,0
0,70,28.72,665,0
1,82.4,28.71,730,1
1,96,28.68,715,1
1,63,28.65,670,1
1,65,28.62,675,1
0,65,28.6,685,0
1,77,28.58,680,1
1,42,28.58,745,0
0,52,28.57,660,0
0,55,28.56,670,1
0,22.157,28.55,665,0
1,44,28.53,685,0
1,28.56,28.53,710,1
1,32.228,28.49,685,1
1,47,28.48,730,1
1,60,28.43,680,1
1,31.304,28.41,705,1
0,81,28.4,710,0
1,70,28.36,665,1
1,81,28.34,775,1
0,44,28.34,685,1
0,35,28.33,730,1
0,33,28.33,670,1
0,50,28.32,695,1
1,30,28.32,665,1
1,87,28.3,690,1
1,52,28.29,675,0
0,40,28.29,685,1
0,39.52,28.29,695,0
1,120,28.26,690,1
1,35,28.26,710,0
0,37.2,28.23,665,1
1,120,28.2,680,1
0,49.453,28.2,660,0
0,45.63,28.2,685,1
0,200,28.18,730,0
0,116,28.17,690,1
1,110,28.16,695,1
1,41,28.16,705,0
1,46,28.15,685,1
0,80,28.14,690,1
1,84,28.13,725,1
1,76,28.12,700,0
1,57,28.06,675,1
1,122,28.05,660,1
0,33,28.04,670,0
1,34,28.03,680,1
0,130,28.02,725,0
0,42,28,690,1
0,28.8,28,675,0
0,28.5,28,725,0
1,47,27.99,660,1
1,86.518,27.97,705,1
1,79,27.92,720,1
0,70,27.91,685,0
1,65,27.86,700,0
1,50,27.84,695,1
1,36.12,27.84,670,1
1,100,27.83,705,1
1,95,27.82,680,0
1,152.178,27.81,660,1
0,35,27.81,710,1
0,29,27.81,670,1
0,43,27.8,695,0
0,55,27.79,660,1
1,72,27.78,670,0
1,68,27.78,705,0
1,111,27.76,700,1
0,48,27.74,660,0
0,36,27.73,715,1
0,50,27.72,660,1
1,98.4,27.71,705,1
0,75,27.71,705,1
1,49.7,27.67,730,1
0,32,27.64,660,1
0,40,27.63,700,0
0,80,27.62,675,1
1,75,27.61,660,0
0,105,27.6,720,1
0,25,27.6,660,0
1,67,27.59,680,0
1,32,27.57,680,0
0,96,27.54,685,1
0,61,27.5,710,1
1,75.2336,27.47,670,0
1,23,27.4,690,0
1,50,27.39,705,1
1,47,27.35,700,1
1,84.5,27.32,720,1
0,60,27.3,665,1
0,60,27.3,670,1
1,35,27.27,775,0
1,35,27.26,780,1
1,31,27.26,675,1
1,90,27.24,685,0
0,60,27.24,705,1
0,32,27.23,665,1
0,65.309,27.21,680,1
1,50,27.2,710,1
1,77.721,27.18,800,1
1,48,27.18,675,0
0,50,27.15,665,1
1,125,27.12,660,0
0,45,27.12,720,1
0,133.2,27.11,670,0
1,104,27.11,665,0
0,80.6,27.07,695,0
1,63,27.07,695,1
0,52.06,27.07,665,1
0,75,27.04,700,1
1,88,27.02,690,0
1,51,26.99,740,0
1,106,26.97,695,1
1,70,26.95,745,1
1,57,26.95,755,0
0,25,26.93,660,1
0,54,26.91,685,1
0,75,26.9,715,0
1,86.5,26.89,685,0
1,27,26.89,740,1
0,38,26.88,670,1
1,35,26.86,705,1
0,25,26.84,735,1
0,28,26.82,675,1
1,30,26.8,680,0
0,65.595,26.78,695,1
0,52,26.77,695,0
0,50,26.77,705,1
1,80,26.76,680,0
1,48,26.75,670,0
1,32,26.74,700,0
1,80,26.7,705,1
0,36,26.7,670,1
0,78,26.69,680,0
1,54,26.69,675,0
0,42,26.69,685,1
1,100,26.67,705,1
0,62.5,26.67,680,1
0,32,26.67,700,1
0,34,26.65,710,1
1,95,26.64,685,1
1,55,26.6,700,0
1,42,26.57,680,1
1,41,26.55,690,1
1,110,26.54,745,1
0,89,26.54,670,1
1,68,26.54,670,0
1,60,26.54,685,0
1,70,26.52,670,0
0,60,26.52,660,1
0,37,26.52,685,1
0,30,26.52,660,0
1,54,26.51,670,0
1,27,26.49,750,1
1,70,26.47,715,1
0,75,26.46,660,1
1,62,26.46,685,1
1,115,26.45,750,1
1,89.6,26.44,715,1
0,105,26.43,690,1
0,40,26.4,660,0
1,130,26.37,680,1
1,25,26.36,710,1
0,100,26.28,675,0
1,60.72,26.28,680,1
1,79.71768,26.25,675,0
0,50,26.21,675,1
0,55,26.17,695,1
0,35,26.17,660,1
0,50,26.16,680,1
0,52,26.15,660,0
1,53,26.13,735,1
1,85,26.12,720,1
1,165,26.1,680,0
0,28,26.1,745,0
1,68,26.09,665,0
0,94.7,26.08,680,0
1,130,26.05,760,1
1,98.853,26.05,695,1
0,70,26.05,680,0
1,55,26.05,660,1
0,27.04,26.05,730,1
1,95.724,26.04,730,1
0,40,26.04,685,1
1,36,26.03,795,1
0,45.9,26.01,680,1
1,60,26,680,1
0,30,26,695,0
1,120,25.99,705,0
1,62,25.99,675,0
0,34,25.98,660,0
1,46,25.96,695,0
1,30,25.96,715,1
0,79,25.93,695,1
1,69,25.93,680,1
1,20,25.93,700,0
1,98,25.92,730,1
0,59,25.9,660,0
1,70,25.88,750,1
1,56.892,25.86,690,0
1,42.3,25.85,765,1
0,90,25.83,710,1
1,78.982,25.8,710,1
1,96,25.78,675,1
0,60,25.78,660,1
1,60,25.76,715,1
1,60,25.76,705,1
1,70,25.74,750,1
1,40,25.74,675,1
1,100,25.73,725,1
1,175,25.68,690,1
0,38,25.68,685,0
1,106.586,25.63,685,1
1,34,25.63,685,1
0,26,25.62,665,1
1,70,25.61,755,1
1,62,25.61,670,0
1,72,25.58,660,0
0,101.92,25.55,705,1
1,78,25.54,730,1
0,36.584,25.52,660,1
1,30,25.52,675,0
1,200,25.51,695,0
1,100,25.5,705,0
0,50,25.47,680,0
1,45,25.47,660,0
1,60.5,25.45,660,0
1,98,25.4,715,1
0,65,25.37,675,0
0,90,25.36,665,1
0,67,25.36,690,0
0,62.5,25.35,775,1
0,110,25.34,665,0
1,101.388,25.34,680,0
0,76.5,25.33,790,1
1,75,25.33,695,1
1,126,25.32,720,1
0,30,25.32,685,0
1,45,25.31,710,1
1,39,25.3,710,1
1,120,25.29,735,1
0,55,25.29,660,1
1,60,25.28,690,1
1,55,25.27,715,1
1,65,25.26,715,1
1,94,25.24,675,1
1,120,25.23,710,1
1,48,25.23,725,0
1,48,25.23,670,1
0,40,25.2,660,1
1,107,25.19,720,1
1,58.906,25.17,685,0
0,130,25.15,680,1
1,52.5,25.13,685,1
1,59,25.12,795,1
0,98,25.11,680,0
1,95,25.11,670,0
0,60,25.1,675,1
0,72.886,25.09,695,1
1,79,25.03,710,1
1,90,25,770,1
1,50,25,770,1
1,60,24.98,680,1
1,58,24.95,690,0
1,53.639,24.95,700,0
1,103.5,24.93,700,1
0,43,24.89,690,1
1,73.955,24.88,705,1
0,30,24.88,685,0
1,84.4,24.87,725,1
0,50,24.87,695,0
1,50,24.84,730,1
1,82,24.78,665,1
1,60,24.78,720,1
0,75,24.75,660,0
1,48,24.75,665,1
0,112,24.7,700,1
0,102.768,24.68,665,1
0,65,24.67,690,1
0,33.3828,24.67,675,0
1,20,24.67,680,1
0,70,24.65,690,1
0,55,24.63,670,1
1,29,24.63,700,0
1,140,24.62,700,1
1,45,24.61,680,1
1,115,24.6,705,1
1,58,24.58,660,1
0,61,24.57,675,1
0,45.76,24.57,660,0
1,45,24.56,665,0
1,65,24.54,665,0
0,115,24.53,685,0
0,50,24.53,695,0
1,45,24.53,670,1
1,120,24.48,755,1
1,103,24.47,720,1
1,65,24.45,660,1
0,30,24.44,675,1
0,30,24.44,685,1
0,60,24.42,685,0
0,22,24.4,670,1
1,92,24.39,680,1
1,63,24.38,715,1
1,60,24.36,695,0
1,54,24.36,730,1
1,44.29,24.36,670,1
1,65,24.35,660,1
0,65,24.35,660,1
0,55.62692,24.34,700,0
0,30,24.32,705,0
1,115,24.31,730,1
1,35,24.25,670,0
0,54,24.2,660,0
1,48,24.2,660,1
0,57,24.19,705,1
1,49.5,24.19,660,0
0,45,24.19,695,0
0,82,24.17,660,1
1,80,24.17,745,0
1,76,24.16,725,1
1,60.4,24.16,715,1
0,43,24.14,680,0
1,120,24.12,695,1
1,105,24.11,710,1
1,220,24.1,730,1
1,65,24.08,685,1
1,65,24.08,695,1
1,60,24.06,660,1
1,56,24.05,680,1
1,65,24.02,690,1
1,220,24.01,715,1
1,80,24.01,700,1
0,36,24,710,0
1,30,24,740,0
1,120,23.99,670,1
0,30,23.96,690,1
1,72.5,23.95,690,1
1,64,23.95,690,0
1,49,23.95,665,1
1,95,23.93,715,1
1,68,23.91,670,1
0,65,23.91,685,0
1,61,23.88,695,0
0,45,23.79,665,0
1,75,23.78,695,1
1,70,23.78,730,0
0,30,23.78,795,0
1,70,23.76,685,0
0,70,23.76,660,1
1,37.2,23.74,660,1
0,112,23.73,715,1
1,54,23.73,660,0
0,35,23.73,720,1
1,56,23.72,710,1
0,31.572,23.72,675,0
0,29,23.72,680,1
0,106,23.71,695,1
1,47.244,23.7,710,0
0,65,23.69,700,1
0,100,23.67,675,0
1,32,23.67,705,0
1,35,23.66,670,0
1,38.771,23.65,710,0
0,78,23.6,665,1
1,33.715,23.6,665,0
0,100,23.59,715,0
0,60,23.58,695,1
0,75,23.57,710,0
1,42,23.57,765,0
0,68,23.56,680,1
1,45,23.55,685,1
0,42,23.54,700,0
0,43,23.53,660,0
0,61.1,23.51,665,1
1,37,23.48,660,0
1,75,23.47,660,1
1,75,23.46,665,0
1,100,23.45,735,1
0,55,23.45,660,0
0,52,23.42,680,1
1,160,23.41,675,1
1,100,23.4,700,1
1,97,23.4,690,1
1,50,23.36,715,0
1,85,23.31,695,1
1,138,23.3,705,1
0,80,23.3,695,1
1,66,23.29,755,1
0,50,23.28,740,1
0,75,23.26,675,1
0,70,23.26,680,0
1,57,23.26,740,0
0,85,23.25,670,0
1,48,23.25,660,1
1,80,23.23,665,1
1,64,23.23,690,1
0,80,23.21,700,1
1,100,23.2,700,1
0,60,23.18,730,1
1,65,23.15,670,0
1,62,23.15,700,1
0,28,23.15,675,0
1,76,23.13,660,1
1,72,23.12,715,1
1,64,23.1,675,0
1,60,23.1,665,0
0,40,23.1,675,0
0,34,23.09,670,0
0,77,23.08,695,1
0,55,23.08,660,1
0,85,23.07,680,0
1,98.8,23.06,685,0
0,98,23.02,675,0
1,80,23.01,685,1
1,50,23,695,0
1,50,23,700,1
1,49.2,23,675,0
1,170,22.99,685,0
1,70,22.99,695,1
1,60,22.98,665,1
1,110,22.97,725,1
1,76,22.97,680,1
1,58,22.95,660,1
1,50,22.94,685,0
1,65,22.92,705,0
0,50,22.9,710,0
1,50,22.9,670,1
1,62,22.88,720,1
0,57,22.88,665,0
0,45,22.88,670,1
1,80,22.86,665,1
1,90,22.83,750,1
0,42,22.83,685,1
1,85,22.82,670,0
0,64,22.81,690,0
0,38,22.8,720,1
1,94,22.78,700,1
0,65,22.75,705,1
1,65,22.72,720,0
0,30,22.72,690,0
0,72.4091,22.7,660,1
0,67,22.69,690,1
0,42,22.69,660,0
1,20,22.69,740,1
1,33.5,22.68,680,0
0,62.4,22.67,715,1
0,45,22.67,705,0
1,42,22.66,710,1
1,30,22.66,720,0
1,215,22.61,755,1
1,95,22.61,755,0
1,68,22.61,700,0
1,49,22.61,730,1
1,60,22.6,665,1
0,105,22.55,660,1
0,63,22.55,670,1
1,29,22.55,700,0
1,142,22.54,695,1
0,42.27884,22.54,680,1
0,32,22.54,675,1
0,75,22.53,700,0
1,75,22.53,675,1
0,42,22.51,730,1
0,45,22.48,675,1
1,65.033,22.46,670,1
1,40,22.44,685,1
1,115,22.43,685,1
1,90.115,22.43,705,1
0,40.56,22.43,665,0
1,79,22.41,730,0
1,70,22.41,660,0
1,49.5,22.4,680,1
0,45,22.4,665,1
0,46,22.36,665,0
1,80,22.34,660,1
1,62,22.34,660,0
0,95,22.33,725,1
1,54,22.33,685,0
1,34,22.31,690,1
1,67.2,22.3,670,1
1,50,22.3,700,1
0,24,22.3,670,1
0,47.2,22.27,685,1
0,85,22.26,715,0
1,60,22.25,780,0
1,229,22.23,670,1
0,57,22.21,660,0
0,150,22.2,715,0
1,93,22.2,730,1
0,78,22.18,695,1
0,52,22.16,675,1
1,102,22.14,695,0
0,82,22.14,725,0
1,90,22.13,735,0
1,45,22.13,685,0
1,180,22.12,730,1
1,111.5,22.12,725,1
1,28,22.12,775,1
1,102,22.11,690,0
0,60,22.11,685,1
0,160,22.09,665,1
0,40,22.08,695,1
1,50,22.03,720,0
0,45,22.03,695,1
1,42,22.03,695,1
1,85,22.02,680,0
0,57.2,22.02,670,1
1,84.45,22.01,690,0
1,120,21.99,715,1
1,130,21.93,690,0
1,130,21.93,670,1
1,73,21.93,680,1
0,70,21.93,665,0
0,32.7808,21.93,705,1
0,32,21.91,660,1
0,72,21.88,730,1
0,45,21.87,660,1
1,125,21.86,695,0
1,75,21.85,695,1
0,68.531,21.84,690,0
1,48,21.83,690,0
1,56,21.82,680,0
0,53,21.81,660,0
1,49.8,21.81,690,1
0,106.002,21.79,665,1
1,59.987,21.79,670,0
0,40.26,21.79,675,1
0,90,21.77,685,1
0,32,21.76,685,1
0,44,21.75,705,1
1,62,21.74,660,0
1,120,21.71,680,0
0,55,21.71,680,0
0,35,21.71,710,1
0,72,21.7,670,0
1,110,21.69,755,1
1,118.5,21.68,710,1
0,60,21.68,710,0
0,72,21.65,685,0
1,45,21.65,720,0
0,30,21.64,675,0
0,45,21.63,670,1
1,115,21.61,695,1
1,23,21.61,675,1
1,92,21.6,700,1
0,55,21.6,680,1
1,106,21.58,720,1
1,53,21.55,730,1
0,55.1616,21.54,670,0
0,55,21.54,680,0
0,155,21.52,660,0
1,38.444,21.51,675,1
1,70,21.48,680,0
0,90,21.47,695,0
1,55,21.47,685,1
0,73,21.46,665,0
1,95,21.45,665,1
0,61,21.45,675,0
0,56,21.45,715,0
0,135,21.44,680,1
0,75,21.44,665,0
1,56,21.43,725,1
1,35,21.43,680,0
0,63,21.41,685,1
1,90,21.39,710,1
1,32.043,21.39,680,0
0,72.5,21.34,685,1
1,70,21.31,670,0
1,113.875,21.3,710,1
0,80.734,21.3,685,1
1,42,21.3,675,1
0,40,21.3,660,0
0,98,21.28,685,1
1,36,21.27,680,0
1,45.828,21.26,705,0
1,86,21.23,705,1
0,78,21.23,685,1
1,35,21.23,745,0
0,75,21.22,660,1
1,47.5,21.22,675,1
0,105,21.19,695,1
0,72,21.19,675,0
0,32,21.19,700,1
0,75,21.15,665,1
0,74,21.15,675,1
1,58,21.15,725,0
0,36,21.15,675,0
0,27,21.12,700,0
1,96.5,21.09,705,1
0,70,21.09,715,1
0,42.9,21.09,670,1
0,102.258,21.07,665,1
1,37,21.05,685,1
0,52,21.04,665,1
1,85,21.02,710,1
1,84,21.01,680,1
1,42,21.01,685,1
1,52,21,705,0
1,128,20.98,685,1
1,60,20.96,670,1
1,48,20.95,665,0
1,63.5,20.94,695,0
1,47.5,20.94,695,1
0,178,20.93,675,1
0,70.72,20.93,675,1
0,45,20.93,660,0
1,125,20.9,700,0
0,65,20.9,670,0
0,65,20.9,750,1
0,64,20.87,670,1
1,130,20.83,690,0
1,140,20.82,720,1
0,65,20.81,715,1
1,50,20.81,665,0
0,40,20.79,680,1
1,75,20.78,660,1
1,66,20.78,725,1
1,48,20.78,730,1
1,21,20.77,685,1
1,50,20.74,665,0
1,62,20.73,665,0
0,40,20.73,665,0
0,52,20.68,665,1
0,30,20.68,770,1
0,36,20.67,740,1
1,70,20.66,670,0
1,42,20.66,675,1
1,136,20.63,670,1
0,50,20.62,700,1
0,29,20.61,675,0
1,54,20.56,665,1
0,40,20.55,710,1
0,70.439,20.53,715,1
1,75,20.52,685,0
0,34.3824,20.52,735,0
1,69.5,20.5,680,0
0,125,20.46,680,1
1,85,20.46,705,1
1,60,20.46,725,1
0,40,20.46,700,0
0,99.102,20.45,700,1
0,26.88,20.45,705,1
1,45,20.43,715,0
1,45,20.43,705,1
1,85,20.42,680,1
1,90.65264,20.37,690,0
0,122.8,20.36,670,1
1,80,20.35,745,1
0,57,20.35,660,0
0,46,20.35,680,0
1,120,20.34,700,1
1,85,20.34,715,0
1,52,20.33,670,1
0,88,20.32,700,1
0,105,20.31,690,1
1,62,20.31,695,1
1,76,20.29,675,0
1,69.5,20.29,660,0
0,60,20.28,660,0
0,130,20.27,710,1
1,80,20.27,690,1
0,68,20.26,675,0
1,116,20.23,735,1
0,62,20.22,660,1
1,71.884,20.2,710,0
1,120,20.19,715,1
0,34,20.19,690,1
1,85,20.18,690,0
1,73,20.17,730,1
1,105,20.13,695,0
0,106,20.1,660,1
1,200,20.08,700,1
1,65,20.08,670,1
1,125,20.02,665,1
1,92,20.01,665,1
0,42,20,670,0
1,110,19.98,675,1
1,40,19.95,695,1
0,85,19.94,675,1
1,62.234,19.94,690,0
0,68,19.93,665,1
1,94,19.9,735,1
1,54.186,19.87,685,0
1,82,19.86,780,1
0,33.6,19.86,695,0
0,59.48,19.85,750,1
0,28,19.8,660,1
0,130,19.79,815,1
1,121,19.76,685,1
1,50,19.76,660,0
0,96,19.75,690,1
1,108,19.74,745,1
1,250,19.71,665,1
1,250,19.69,685,1
1,43,19.68,710,1
0,68.5,19.66,680,0
0,48,19.65,685,1
0,60,19.64,735,0
0,50,19.64,690,1
1,120,19.63,670,1
0,72,19.63,685,1
1,64,19.63,685,1
1,93.953,19.62,700,1
1,50,19.62,670,1
1,65,19.59,775,0
0,199,19.58,675,1
0,38,19.55,695,0
1,60,19.54,665,0
1,64,19.5,680,1
1,85,19.48,670,1
1,40,19.47,800,1
1,60,19.46,705,1
0,108,19.44,670,1
1,30.27,19.43,670,1
1,76.668,19.42,670,0
1,82,19.41,695,1
0,41,19.41,665,0
1,68,19.4,665,1
1,85,19.37,680,0
0,60,19.36,700,1
0,38,19.36,660,0
1,55,19.35,665,0
1,50,19.35,665,1
0,39,19.35,680,0
1,24,19.35,675,0
1,140,19.33,790,1
0,32.968,19.33,705,1
1,53,19.32,750,1
1,70,19.29,675,1
0,65,19.28,735,1
1,95,19.26,770,1
1,41,19.26,665,1
1,70,19.25,730,1
1,109.6,19.24,730,1
1,30,19.24,705,1
1,100,19.19,685,1
1,72,19.18,705,1
1,69.2,19.18,675,0
0,60,19.16,670,1
0,85,19.14,675,0
1,68,19.11,715,1
0,40,19.11,680,1
0,60,19.1,660,0
1,44.2,19.1,715,1
0,58,19.08,705,1
0,45,19.07,720,1
1,69,19.04,690,0
1,250,19.03,715,1
0,36,19.03,665,1
1,146.46,19.01,675,0
0,59.7726,19.01,665,1
1,126,18.99,690,0
1,90,18.99,660,0
1,86,18.99,675,0
1,90,18.96,735,1
1,84,18.96,715,0
1,68,18.93,665,0
1,82,18.91,690,0
1,101,18.9,660,0
1,36.523,18.9,680,1
1,96,18.88,680,1
1,150,18.86,665,0
0,48.984,18.86,665,1
0,35,18.86,660,0
0,115,18.85,745,1
0,109.5,18.85,680,0
0,60,18.85,695,0
0,40,18.85,660,0
0,42.5,18.84,700,1
1,99,18.83,780,1
1,85,18.83,715,1
1,42,18.83,700,0
0,35,18.83,675,1
0,31,18.82,665,1
0,66.8,18.81,695,1
1,34.32,18.81,720,1
0,140,18.79,710,1
1,104,18.77,710,0
1,102,18.76,665,1
1,75,18.75,705,0
1,50,18.74,685,1
1,101,18.73,660,1
1,87,18.73,730,1
1,80.5,18.71,665,0
0,52.8,18.7,670,1
1,110,18.69,675,0
1,40,18.69,665,1
0,76,18.66,670,1
0,80,18.65,695,0
0,80,18.64,705,0
0,37.353,18.64,715,1
0,50,18.63,670,0
1,100,18.58,770,1
1,98,18.58,690,1
1,77,18.58,755,1
1,49,18.58,720,1
0,52,18.56,660,1
1,140,18.54,710,1
1,60,18.54,675,0
1,40,18.54,670,1
0,99,18.51,660,0
1,100,18.49,685,1
1,100,18.48,750,1
1,55,18.48,675,1
1,45,18.48,730,1
